#ID:	4
#type:	Stressing
#start_time:	16/04/2025 16.53.28
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
#wait_duration:	1 min
#point_rate:	2 1/s
#point_spacing:	0 linear
#setpoint:	Inf W
##Sample holder climate : temperature:	[35.187,37.027] °C
##Sample holder climate : relative humidity:	[33.845,32.81] %
##IR temperature [0]:	[46.49,48.25] °C
##Stage temperature:	[53.7755,55.5825] °C
##Light intensity:	[100,100] %
#Power:	-0.000621425 mW
#Current:	-0.000903564 mA
#Voltage:	0.687749 V
#
#time (s),Voltage (V),current (mA),Power (mW),PCE (%)
2.05279,1.52129,0.000846165,0.00128726,0.00514906
3.08009,0.78919,-0.000667749,-0.00052698,0.00210792
4.10901,0.740596,-0.000791499,-0.000586181,0.00234472
5.13084,0.69219,-0.000754979,-0.000522589,0.00209036
6.14421,0.716219,-0.00061297,-0.00043902,0.00175608
7.15725,0.70203,-0.000708131,-0.000497129,0.00198852
8.19622,0.687741,-0.00071946,-0.000494802,0.00197921
9.2248,0.697089,-0.000629229,-0.000438629,0.00175452
10.249,0.692379,-0.000957165,-0.000662721,0.00265088
11.2748,0.687489,-0.000662749,-0.000455632,0.00182253
12.3119,0.687481,-0.000613435,-0.000421725,0.0016869
13.3364,0.687539,-0.000739185,-0.000508218,0.00203287
14.3673,0.68715,-0.000729322,-0.000501154,0.00200462
15.391,0.687362,-0.000768773,-0.000528425,0.0021137
16.4147,0.687324,-0.000724391,-0.000497891,0.00199156
17.432,0.687263,-0.000603573,-0.000414813,0.00165925
18.4553,0.687263,-0.000867401,-0.000596132,0.00238453
19.4605,0.687221,-0.000672612,-0.000462233,0.00184893
20.4647,0.687301,-0.000763842,-0.000524989,0.00209996
21.4896,0.687253,-0.000630695,-0.000433447,0.00173379
22.511,0.687229,-0.000734254,-0.0005046,0.0020184
23.5312,0.687261,-0.000709597,-0.000487678,0.00195071
24.5495,0.687328,-0.000721925,-0.0004962,0.0019848
25.5824,0.687483,-0.000509877,-0.000350532,0.00140213
26.6111,0.687348,-0.000662749,-0.000455539,0.00182216
27.6236,0.687598,-0.000872332,-0.000599813,0.00239925
28.645,0.687481,-0.000904386,-0.000621748,0.00248699
29.6654,0.687424,-0.000914248,-0.000628477,0.00251391
30.6345,0.687487,-0.000825484,-0.000567509,0.00227004
31.6022,0.687426,-0.000643023,-0.000442031,0.00176813
32.5742,0.687361,-0.000689871,-0.000474191,0.00189676
33.5981,0.687296,-0.00066768,-0.000458894,0.00183558
34.6042,0.687467,-0.000603573,-0.000414936,0.00165974
35.619,0.687204,-0.000443303,-0.00030464,0.00121856
36.6383,0.687203,-0.000867401,-0.00059608,0.00238432
37.6496,0.687419,-0.000825484,-0.000567453,0.00226981
38.6612,0.687515,-0.000958631,-0.000659073,0.00263629
39.6768,0.687508,-0.000704666,-0.000484463,0.00193785
40.6879,0.687467,-0.000763842,-0.000525116,0.00210046
41.7002,0.687655,-0.000682474,-0.000469307,0.00187723
42.7119,0.687578,-0.0007022,-0.000482817,0.00193127
43.737,0.687562,-0.000781102,-0.000537056,0.00214822
44.7535,0.687548,-0.000724391,-0.000498054,0.00199221
45.7729,0.68767,-0.000815621,-0.000560878,0.00224351
46.7899,0.687564,-0.000771239,-0.000530276,0.0021211
47.812,0.687367,-0.000675077,-0.000464026,0.0018561
48.8295,0.687773,-0.000657818,-0.000452429,0.00180972
49.849,0.687694,-0.000709597,-0.000487986,0.00195194
50.882,0.687773,-0.000763842,-0.00052535,0.0021014
51.9076,0.68756,-0.000601107,-0.000413297,0.00165319
52.9326,0.687642,-0.000835347,-0.000574419,0.00229768
53.9571,0.687717,-0.000647955,-0.000445609,0.00178244
54.9839,0.68742,-0.0007022,-0.000482706,0.00193083
56.0097,0.687775,-0.0010474,-0.000720372,0.00288149
57.0467,0.687791,-0.00066768,-0.000459225,0.0018369
58.0777,0.687582,-0.000734254,-0.00050486,0.00201944
59.0982,0.687595,-0.000768773,-0.000528604,0.00211442
60.1171,0.687843,-0.000852606,-0.00058646,0.00234584
61.1377,0.687796,-0.000911783,-0.000627121,0.00250848
62.1638,0.687608,-0.000946302,-0.000650685,0.00260274
