#ID:	3
#type:	Perform parallel JV
#start_time:	16/04/2025 17.46.09
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
#start_voltage:	-0.2 V
#stop_voltage:	1.4 V
#Scan rate:	10 mV/s
#settling_time:	10 ms
#direction:	1 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample holder climate : temperature:	[32.808,29.964] °C
##Sample holder climate : relative humidity:	[30.803,32.155] %
##IR temperature [0]:	[34.89,31.53] °C
##Stage temperature:	[33.9076,30.2538] °C
##Light intensity:	[0,0] %
#
#voltage (V),current (mA)
1.40212,-0.000328897
1.40253,-0.000273419
1.38741,-0.000451181
1.38747,-0.000183038
1.37754,-0.000214475
1.37789,-0.000392004
1.36753,-0.000100054
1.36297,-0.000122245
1.35821,-0.000339225
1.35342,-0.000477303
1.34808,-0.000577396
1.34357,-0.00037521
1.33847,-0.00024946
1.33362,-0.000165627
1.32871,-0.000278049
1.32397,-0.000376676
1.31891,-0.000263255
1.3091,-0.000422524
1.3089,-0.000360882
1.29921,-0.000521151
1.29926,-0.000309103
1.28881,-0.000300705
1.28899,-0.000453578
1.28424,-0.000350019
1.27414,-0.000438784
1.26938,-0.000202078
1.26943,-0.000562068
1.25947,-0.000452578
1.25938,-0.000230666
1.24977,-4.32745E-5
1.2445,-0.000131039
1.23987,-0.000434318
1.23502,-0.000458975
1.22976,-0.000348019
1.22509,-0.000125108
1.22032,-0.000287843
1.21522,-0.000211407
1.21027,-0.000470303
1.20064,-0.000274514
1.2007,-0.000222735
1.19568,-0.000471769
1.19056,-0.000353416
1.18119,-0.000507754
1.18125,-0.000236529
1.1712,-0.000480632
1.1663,-0.000585656
1.16164,-0.000114711
1.16129,-0.000408127
1.15147,-0.000136902
1.14641,-0.000315897
1.14186,-0.000394798
1.1365,-0.000288774
1.13193,-0.000310965
1.12667,-0.00045544
1.12201,-0.000440646
1.11709,-0.000152162
1.11192,-0.000470235
1.10697,-0.00028924
1.10235,-0.000323759
1.09233,-0.000553068
1.09247,-6.48627E-5
1.08256,-0.00027098
1.0829,-0.000307965
1.07305,-0.000278377
1.07314,-0.000566862
1.06338,-0.000339019
1.06338,-0.000163956
1.05375,-0.000489426
1.04898,-0.000338019
1.044,-0.000456372
1.03916,-0.000508151
1.03452,-0.000589519
1.02952,-0.000606778
1.02439,-0.000408524
1.01484,-0.000443043
1.01515,-0.000430715
1.01042,-0.000403593
1.0008,-8.69852E-5
1.00056,-0.000131367
0.990936,0.000139858
0.986226,-0.000204338
0.985748,-8.35195E-5
0.97606,-0.000206804
0.971337,-0.000258583
0.966701,-0.000415387
0.966442,-0.000232926
0.957101,-0.00024772
0.947375,-0.000382333
0.947341,-0.000296034
0.942481,-0.000370004
0.937707,-0.0002985
0.932887,-3.71373E-5
0.923187,-0.00022846
0.923283,-8.05195E-5
0.913562,-0.00040599
0.908682,-0.000562793
0.90869,-0.00026198
0.898752,-6.71911E-5
0.893937,-0.000237323
0.889234,-0.000327553
0.889469,-0.000427181
0.879591,-0.000401524
0.870034,5.46273E-5
0.870205,-0.000384264
0.865389,-0.000124368
0.860409,-0.000161353
0.850685,-0.000257514
0.850769,-0.000257514
0.84071,-0.000219529
0.840695,-3.95343E-5
0.831041,0.000105941
0.830904,-0.000318156
0.821638,-6.48045E-6
0.815868,-0.00013223
0.811503,3.38228E-6
0.811126,-0.000112505
0.801443,0.000226294
0.796539,-0.00011397
0.791551,-0.000175613
0.786609,-0.000189407
0.78169,-0.000189407
0.776598,-0.000127765
0.771688,-0.00018201
0.762065,-0.000314156
0.761703,-0.000311691
0.757054,-0.000343745
0.752068,-0.000208132
0.742042,-0.000130696
0.7422,-0.000214529
0.732463,-9.8642E-5
0.732166,-9.8775E-6
0.722729,-0.000282568
0.717727,0.000114407
0.717722,-7.79166E-5
0.707913,6.6093E-5
0.702891,0.000223897
0.698122,-8.43136E-5
0.693376,3.65048E-5
0.693356,-2.26716E-5
0.678284,3.50391E-5
0.678352,-4.1397E-5
0.673546,0.00032599
0.668583,3.35734E-5
0.663277,0.000102613
0.658431,-0.00017601
0.65364,-6.50539E-5
0.643751,-6.15882E-5
0.643778,-0.000113368
0.633762,-0.000207063
0.633833,6.41616E-5
0.623987,7.25586E-5
0.623967,-4.33284E-5
0.614389,-0.000198666
0.609608,-0.000240583
0.604473,-0.000345607
0.604186,-0.000180407
0.594608,-0.000340676
0.590026,-0.000116299
0.58454,-0.000312553
0.579654,-0.000221323
0.574774,-0.000105436
0.56988,-3.14657E-5
0.564979,-0.000124162
0.555362,-0.000240049
0.555536,3.85734E-5
0.550605,-0.000168544
0.545392,-0.000125627
0.5358,-0.000206995
0.535426,-5.65882E-5
