#ID:	4
#type:	Stressing
#start_time:	16/04/2025 17.41.05
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
#wait_duration:	1 min
#point_rate:	2 1/s
#point_spacing:	0 linear
#setpoint:	Inf W
##Sample holder climate : temperature:	[34.779,36.886] °C
##Sample holder climate : relative humidity:	[31.739,30.744] %
##IR temperature [0]:	[44.35,46.49] °C
##Stage temperature:	[51.4341,54.4878] °C
##Light intensity:	[100,100] %
#Power:	-0.000873582 mW
#Current:	-0.00089966 mA
#Voltage:	0.971013 V
#
#time (s),Voltage (V),current (mA),Power (mW),PCE (%)
1.10255,1.56116,0.00176633,0.00275752,0.0110301
1.63487,0.823943,-0.000716597,-0.000590435,0.00236174
2.14794,0.775177,-0.000731857,-0.000567319,0.00226927
2.67891,0.804346,-0.000732857,-0.000589471,0.00235788
3.19546,0.833734,-0.000821155,-0.000684625,0.0027385
3.71821,0.868048,-0.000839415,-0.000728653,0.00291461
4.23606,0.911867,-0.00100022,-0.000912067,0.00364827
4.76529,0.961433,-0.000923317,-0.000887707,0.00355083
5.28828,0.936803,-0.000653558,-0.000612255,0.00244902
5.81485,0.951902,-0.000814827,-0.000775635,0.00310254
6.33655,0.96598,-0.00108605,-0.0010491,0.00419642
6.86844,0.980277,-0.00080843,-0.000792486,0.00316994
7.39285,0.971274,-0.00093418,-0.000907345,0.00362938
7.92096,0.961225,-0.000906057,-0.000870925,0.0034837
8.44564,0.965816,-0.00080743,-0.000779829,0.00311932
8.97984,0.965909,-0.00105153,-0.00101568,0.00406274
9.51493,0.971048,-0.000882401,-0.000856854,0.00342741
10.043,0.970827,-0.000971165,-0.000942833,0.00377133
10.5635,0.971162,-0.000675283,-0.000655809,0.00262324
11.0899,0.970377,-0.000746788,-0.000724666,0.00289866
11.6131,0.970527,-0.000613641,-0.000595555,0.00238222
12.1429,0.970636,-0.000731994,-0.0007105,0.002842
12.654,0.970466,-0.000976096,-0.000947268,0.00378907
13.1784,0.970821,-0.000756651,-0.000734572,0.00293829
13.7043,0.970758,-0.000855278,-0.000830268,0.00332107
14.2261,0.970451,-0.000855278,-0.000830006,0.00332002
14.7494,0.970929,-0.000731994,-0.000710714,0.00284286
15.2811,0.970647,-0.000823224,-0.00079906,0.00319624
15.8047,0.970565,-0.000879935,-0.000854034,0.00341613
16.3311,0.970591,-0.000882401,-0.00085645,0.0034258
16.8528,0.970617,-0.000778842,-0.000755957,0.00302383
17.3712,0.970645,-0.000746788,-0.000724866,0.00289946
17.8937,0.970556,-0.000953905,-0.000925819,0.00370328
18.427,0.970569,-0.000749254,-0.000727202,0.00290881
