#ID:	1
#type:	Perform parallel JV
#start_time:	16/04/2025 16.42.39
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
#start_voltage:	-0.2 V
#stop_voltage:	1.4 V
#Scan rate:	10 mV/s
#settling_time:	10 ms
#direction:	3 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample holder climate : temperature:	[21.486,21.627] °C
##Sample holder climate : relative humidity:	[38.921,38.428] %
##IR temperature [0]:	[21.33,23.33] °C
##Stage temperature:	[21.3819,21.4165] °C
##Light intensity:	[0,0] %
#
#voltage (V),current (mA)
1.38789,-0.000352553
1.41282,-0.000243598
1.38803,-0.000373101
1.38835,-0.000466591
1.37818,-0.000278583
1.37348,-0.000414195
1.36815,-0.000361416
1.36325,-0.00014197
1.35865,-0.000548808
1.35341,-0.000349088
1.34862,-0.000348088
1.34366,-0.000481235
1.33895,-0.000616847
1.33401,-0.000606984
1.32897,-0.000421058
1.31912,-0.000416127
1.31933,-0.000435852
1.30927,-0.000405264
1.30928,-0.00039047
1.30443,-0.000429921
1.29489,-0.000306637
1.29477,-0.000439784
1.28468,-0.00040673
1.27977,-0.00053248
1.27982,-0.000199613
1.27004,-0.000271117
1.27024,-0.000727268
1.25995,-0.000363813
1.25516,-0.000260255
1.25007,-0.000447646
1.24532,-0.000340622
1.24036,-0.000441715
1.23539,-0.000463906
1.23043,-0.000172956
1.22559,-0.000366745
1.22078,-0.000285377
1.2153,-0.000371676
1.21044,-0.000174421
1.20094,-0.000207941
1.20091,-0.000331225
1.19095,-0.000550671
1.19124,-0.000444646
1.18151,-0.00038447
1.18165,-0.000246392
1.17149,-0.000278446
1.17156,-0.000189681
1.16179,-0.000279911
1.15653,-0.000321828
1.15161,-0.000514151
1.14668,-0.000412058
1.14149,-0.000542739
1.13695,-0.000306034
1.13176,-0.00027398
1.12671,-9.54509E-5
1.12188,-0.000445578
1.11205,-0.00023846
1.112,-6.68636E-6
1.10703,-0.000217735
1.10255,-0.000308965
1.09246,-0.000451975
1.09294,-0.000447043
1.08327,-0.000307965
1.08304,-0.000406593
1.07349,-0.000256186
1.06898,-6.28627E-5
1.06407,-0.000282308
1.059,-0.000331622
1.05447,-0.000383401
1.04948,-0.00037847
1.04465,-0.00039473
1.0398,-0.000231995
1.03502,-0.000278843
1.02527,-0.000378936
1.02523,-0.000309897
1.01549,-0.000129902
1.01559,-0.000223598
1.00564,-0.000333553
1.00592,-0.000513548
0.996046,-0.000308897
0.991186,-0.00019301
0.986354,-0.000150093
0.98653,-3.91373E-5
0.976846,-9.09166E-5
0.967061,-0.000176215
0.967101,-0.000240323
0.96213,-0.000294568
0.957544,6.29557E-5
0.94797,-5.08341E-6
0.947727,-0.00012097
0.938069,-0.000143162
0.938378,-0.000288637
0.92878,2.05734E-5
0.928611,-8.54509E-5
0.918924,5.01616E-5
0.913968,7.72841E-5
0.909572,-0.000129833
0.904495,-0.00017075
0.899972,-0.000133765
0.894806,-0.000146093
0.889956,-6.96568E-5
0.880727,-0.000399058
0.880331,-0.000206735
0.875635,-0.000379333
0.865664,-0.000299431
0.865857,-0.000149024
0.855808,-2.32745E-5
0.856097,-0.000188475
0.846409,-0.000165284
0.841697,-0.000128299
0.836944,-0.000330485
0.832008,-0.000419249
0.83195,9.36125E-5
0.816897,1.3245E-5
0.816913,-9.27793E-5
0.812234,-0.000122368
0.807177,-0.000343279
0.801937,-0.000377798
0.797359,-0.000118902
0.792451,-0.000311225
0.782376,-0.000206666
0.782436,-0.000169681
0.772489,-0.00011297
0.77244,-0.000522274
0.767627,-0.000153887
0.757713,-0.000309225
0.75764,-9.71764E-5
0.74796,9.84796E-6
0.748082,-0.000421646
0.737971,-0.00039699
0.73297,-0.000268774
0.733053,-8.87793E-5
0.723157,-0.000119833
0.718362,-0.000349142
0.7133,-0.000265308
0.713701,-0.000260377
0.703504,-0.000380195
0.698545,-4.97941E-5
0.693522,-3.00686E-5
0.688704,-0.000315088
0.684037,-0.000115368
0.673901,-0.000223858
0.674352,-0.000191804
0.669094,-0.000237652
0.664143,-0.000328882
0.659085,-0.000314088
0.649346,-8.13136E-5
0.648969,-0.000367333
0.644303,-0.000194735
0.634497,-0.000342676
0.634478,-0.000446235
0.624398,-0.000176475
0.624489,-0.000112368
0.614875,-0.000280034
0.610004,-4.33284E-5
0.604843,-3.98627E-5
0.604747,-5.21911E-5
0.594989,-0.000163147
0.589898,-0.000234652
0.585119,-0.000159681
0.580162,-0.000310088
0.575163,1.53823E-5
0.575267,-0.000233652
0.560574,-0.000277034
0.560865,-0.000114299
0.55572,0.000142132
0.550961,-0.000166078
0.540896,-5.16568E-5
0.540589,-5.16568E-5
0.53586,-0.000273568
0.526277,-0.000166544
0.526238,-0.000205995
0.516412,-0.000203529
0.51636,-0.000312019
0.506638,-7.67793E-5
0.506578,-0.000143353
0.496576,-0.000106368
0.491625,-0.000195132
0.487061,-0.000144818
0.482168,-0.000162078
0.477525,-0.000159613
0.47271,-0.000102902
0.467806,-0.000202995
0.463068,-6.24509E-5
0.45826,0.00033699
0.448841,0.000187583
0.449031,0.000148132
0.439306,0.00021224
0.439139,0.000150598
0.430176,-4.17255E-5
0.42509,-0.00016401
0.420302,-0.000151681
0.415446,-0.000171407
0.410835,-0.000114696
0.405922,-0.000155613
0.401049,-0.000224652
0.391714,-8.1642E-5
0.391399,-0.000266568
0.386983,-0.000142284
0.377234,-8.80391E-5
0.37239,-0.000206392
0.37257,-0.000107765
0.363099,-7.9642E-5
0.358157,0.000184186
0.353455,5.10391E-5
0.348535,-7.61764E-5
0.343625,-0.000127956
0.339057,4.46421E-5
0.334334,-4.65882E-5
0.324654,0.000176323
0.324862,3.57793E-5
0.320005,-7.27107E-5
0.310438,-8.01077E-5
0.305755,-0.000241843
0.305752,-0.000350333
0.296146,-3.22598E-5
0.291632,-0.000118559
0.28685,7.94092E-7
0.281995,-7.07107E-5
0.277138,-0.000295088
0.272407,-0.000361661
0.267822,-0.000178201
0.258196,6.34361E-5
0.258067,-7.46421E-5
0.248912,0.00018772
0.248628,2.99166E-5
0.239008,-5.39166E-5
0.233882,-0.000300485
0.229233,2.59852E-5
0.229439,3.97793E-5
0.219843,0.000277485
0.214902,-1.8397E-5
0.21015,0.000141872
0.205647,-0.000276294
0.200971,9.72546E-6
0.190799,-1.7397E-5
0.190851,-0.000310813
0.180806,-0.000132284
0.180771,-0.000186529
0.171078,-0.000258034
0.170792,0.000175926
0.160835,4.37793E-5
0.161022,-0.000183063
0.15098,-4.49852E-5
0.150945,-0.000153475
0.141085,0.000394906
0.140896,-0.000186995
0.131103,2.86273E-6
0.12622,2.11225E-5
0.121173,-6E-6
0.121206,9.75586E-5
0.111389,-0.000176132
0.106378,-8.88332E-5
0.101571,4.1848E-5
0.0969395,-0.00011349
0.0916888,-8.88332E-5
0.0868389,-4E-6
