#ID:	3
#type:	Perform parallel JV
#start_time:	16/04/2025 16.48.02
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
#start_voltage:	-0.2 V
#stop_voltage:	1.4 V
#Scan rate:	10 mV/s
#settling_time:	10 ms
#direction:	3 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample holder climate : temperature:	[21.627,35.187] °C
##Sample holder climate : relative humidity:	[38.428,33.845] %
##IR temperature [0]:	[23.33,46.49] °C
##Stage temperature:	[21.4165,53.7755] °C
##Light intensity:	[100,100] %
#
#voltage (V),current (mA)
1.39872,-0.00104394
1.39866,-0.0011549
1.38377,-0.00105938
1.36869,-0.00104503
1.36883,-0.00081017
1.33935,-0.00102862
1.33981,-0.000966974
1.32989,-0.000846156
1.31999,-0.00103501
1.30992,-0.00101775
1.30006,-0.000979768
1.28511,-0.000865347
1.28016,-0.00085795
1.27029,-0.000779048
1.26044,-0.00100982
1.24558,-0.000905263
1.24092,-0.000888003
1.2257,-0.000926454
1.22127,-0.001067
1.21086,-0.000827827
1.19632,-0.000947646
1.19127,-0.00112271
1.17652,-0.000867744
1.17142,-0.00110691
1.15693,-0.000985096
1.15186,-0.00100236
1.13719,-0.000971768
1.12676,-0.00120994
1.12212,-0.000997891
1.10774,-0.00114237
1.09795,-0.000742925
1.08812,-0.00093918
1.0789,-0.00104274
1.06887,-0.000819827
1.05954,-0.00104667
1.04944,-0.00077791
1.04012,-0.00117142
1.02533,-0.00104714
1.02072,-0.000857278
1.0105,-0.000807964
0.996312,-0.000624504
0.991306,-0.000661489
0.976944,-0.000736925
0.967029,-0.000706337
0.962016,-0.000775376
0.947749,-0.000900126
0.93805,-0.000900126
0.928447,-0.000761048
0.918956,-0.000778308
0.909014,-0.000784705
0.899478,-0.000856209
0.889675,-0.000752651
0.880033,-0.000687543
0.865476,-0.000795033
0.860599,-0.000812293
0.846143,-0.000712665
0.84113,-0.000688009
0.826844,-0.000844812
0.816692,-0.000640161
0.811943,-0.000810293
0.797006,-0.000762445
0.787022,-0.000845278
0.77735,-0.000983356
0.767493,-0.000745651
0.762486,-0.000610038
0.748183,-0.000535068
0.738043,-0.000781636
0.728166,-0.000780636
0.718576,-0.000857072
0.708684,-0.00093744
0.698637,-0.000821553
0.688783,-0.000835347
0.689163,-0.00093644
0.653976,-0.000859003
0.659011,-0.000831881
0.644406,-0.000811156
0.63928,-0.000705131
0.629254,-0.000874263
0.6146,-0.000519205
0.6095,-0.000674543
0.594824,-0.000841209
0.589946,-0.000690803
0.574964,-0.000677474
0.565107,-0.000903317
0.56066,-0.00077017
0.5456,-0.000729719
0.53577,-0.000529999
0.525777,-0.000763239
0.516131,-0.000780499
0.506225,-0.000964425
0.501258,-0.00080169
0.486758,-0.000726719
0.477228,-0.000731651
0.467675,-0.000920508
0.453421,-0.00076517
0.448265,-0.000539793
0.439382,-0.000502808
0.424792,-0.000726185
0.415427,-0.000339073
0.410578,-0.000674406
0.396335,-0.000550122
0.386841,-0.000790758
0.372562,-0.000827744
0.367526,-0.000853866
0.358136,-0.000723185
0.348645,-0.000591504
0.33429,-0.000756705
0.329432,-0.000998341
0.315227,-0.000911043
0.310387,-0.000950493
0.295993,-0.0006832
0.286598,-0.0006822
0.277395,-0.000455357
0.26751,-0.000903111
0.25803,-0.000474083
0.243992,-0.000653077
0.238728,-0.000475548
0.224485,-0.00073591
0.219638,-0.000664406
0.205235,-0.000411906
0.200491,-0.000431632
0.185247,-0.000899111
0.175385,-0.000600764
0.165408,-0.000402509
0.160482,-0.00058497
0.145894,-0.00056671
0.135967,-0.000833003
0.126281,-0.000743239
0.116287,-0.000543519
0.106395,-0.000589367
0.0965583,-0.000507999
0.0868632,-0.000590832
0.0767919,-0.000492205
0.0668048,-0.000589832
0.0570105,-0.000535587
0.0472848,-0.000583901
0.0370853,-0.000522259
0.0273634,-0.000849195
0.0124085,-0.000614955
0.00752653,-0.00054245
-0.00227965,-0.000924631
-0.0124935,-0.000746102
-0.0268629,-0.000447754
-0.0317708,-0.000646474
-0.0420198,-0.000498533
-0.0567929,-0.000795881
-0.0615942,-0.000398906
-0.0763105,-0.000491602
-0.0815709,-0.000523656
-0.0962808,-0.000606489
-0.106421,-0.000687857
-0.111246,-0.000637543
-0.125772,-0.000669597
-0.130629,-0.000383578
-0.145428,-0.000330798
-0.155075,-0.000549244
-0.164715,-0.00056897
-0.174081,-0.000395372
-0.184008,-0.000479205
-0.193176,-0.000510259
-0.203307,-0.0002415
NaN,NaN
-0.19823,-0.000601489
-0.193365,-0.000512725
-0.1788,-0.000296745
-0.169282,-0.000596092
-0.159671,-0.00046048
-0.150152,-0.000540381
-0.140553,-0.000848592
-0.130648,-0.000659734
-0.120985,-0.000607955
-0.111206,-0.000573435
-0.095997,-0.000838263
-0.0911423,-0.000636077
-0.0812726,-0.000703651
-0.0663262,-0.000655337
-0.0616283,-0.000450685
-0.0519586,-0.000635612
-0.0372431,-0.000402372
-0.0324406,-0.000570038
-0.0173458,-0.000368852
-0.0122437,-0.000657337
0.00266272,-0.000539984
0.00767868,-0.000655871
0.022584,-0.000358524
0.0271592,-0.000720979
0.0419819,-0.000495136
0.052306,-0.000414769
0.0572401,-0.000658871
0.0719112,-0.000578504
0.0770944,-0.000593298
0.0914092,-0.000717582
0.101576,-0.000974013
0.11126,-0.000735842
0.116285,-0.000711185
0.130973,-0.000904508
0.140792,-0.000724513
0.15077,-0.00102633
0.160559,-0.000444426
0.170352,-0.000600764
0.18056,-0.000588435
0.190393,-0.000468617
0.200682,-0.000747239
0.210131,-0.000809881
0.21966,-0.000703857
0.22909,-0.000637283
0.238661,-0.000793621
0.252679,-0.000661474
0.257794,-0.000757636
0.272076,-0.000835072
0.281487,-0.000650146
0.286551,-0.000499739
0.300503,-0.0006832
0.310324,-0.000706391
0.32472,-0.000706391
0.329316,-0.000639818
0.338781,-0.000828209
0.353159,-0.000676337
0.358117,-0.00066894
0.372353,-0.000943631
0.376924,-0.000884454
0.391731,-0.000915043
0.401024,-0.000927371
0.41064,-0.000768102
0.420014,-0.000982616
0.430178,-0.000626092
0.439145,-0.00065568
0.453638,-0.000794758
0.458086,-0.000740513
0.472655,-0.000598504
0.481857,-0.000682337
0.486997,-0.00070946
0.500933,-0.000732651
0.511316,-0.000689268
0.52106,-0.000610367
0.530845,-0.000779033
0.540769,-0.000544793
0.550769,-0.000745513
0.560324,-0.000617298
0.570109,-0.000729254
0.58022,-0.000665146
0.590275,-0.000708063
0.599443,-0.000846141
0.614443,-0.000743582
0.619317,-0.000709063
0.629046,-0.000805224
0.644195,-0.000897454
0.649086,-0.000687871
0.658742,-0.000962562
0.673576,-0.000998082
0.67873,-0.000845209
0.6884,-0.000850141
0.698338,-0.000878263
0.708173,-0.000745116
