#ID:	1
#type:	Perform parallel JV
#start_time:	16/04/2025 17.35.39
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
#start_voltage:	-0.2 V
#stop_voltage:	1.4 V
#Scan rate:	10 mV/s
#settling_time:	10 ms
#direction:	1 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample holder climate : temperature:	[33.42,30.245] °C
##Sample holder climate : relative humidity:	[30.249,31.615] %
##IR temperature [0]:	[35.67,31.91] °C
##Stage temperature:	[35.8809,30.7062] °C
##Light intensity:	[0,0] %
#
#voltage (V),current (mA)
1.10112,50.0011
1.0997,50.011
1.09875,50.0198
1.09811,50.0285
1.09756,50.0341
1.09716,50.0339
1.09685,50.0387
1.09656,50.0415
1.09634,50.0435
1.09617,50.0462
1.09598,50.045
1.09586,50.0499
1.09573,50.0471
1.09561,50.0483
1.09551,50.0449
1.09541,50.0498
1.09532,50.0468
1.09526,50.0464
1.09517,50.047
1.09509,50.0511
1.09499,50.0505
1.09494,50.0525
1.09486,50.0492
1.09485,50.0517
1.09474,50.05
1.09469,50.0495
1.09462,50.0523
1.09459,50.0494
1.09451,50.0492
1.09448,50.0493
1.09441,50.0509
1.0944,50.0498
1.09434,50.0467
1.0943,50.0492
1.09428,50.0525
1.0942,50.0501
1.09416,50.0503
1.09414,50.0464
1.09412,50.0476
1.09408,50.0471
1.09402,50.0474
1.09397,50.0501
1.09396,50.0456
1.09392,50.0468
1.09392,50.0515
1.09384,50.0489
1.09382,50.0457
1.09382,50.0487
1.0938,50.049
1.09375,50.0486
1.09374,50.0454
1.09373,50.0462
1.09368,50.0485
1.09366,50.0476
1.09364,50.0483
1.09359,50.0452
1.09362,50.047
1.09356,50.045
1.09355,50.0446
1.09352,50.0461
1.09328,49.9978
1.09293,49.9089
1.09253,49.8172
1.09175,49.6348
1.091,49.4557
1.09006,49.2258
1.08878,48.9128
1.08748,48.6023
1.08618,48.2862
1.08449,47.8854
1.08286,47.487
1.08097,47.042
1.07891,46.5459
1.07665,45.9968
1.0704,44.5546
1.06395,43.0733
1.05778,41.6679
1.05137,40.2223
1.04462,38.7358
1.03779,37.2648
1.0313,35.8929
1.02465,34.5003
1.01788,33.1249
1.01103,31.7618
1.00428,30.4457
0.997393,29.1305
0.990232,27.8128
0.982922,26.4976
0.975699,25.2436
0.968381,24.0039
0.960709,22.746
0.953333,21.5848
0.945403,20.3764
0.937796,19.2593
0.930173,18.1872
0.921827,17.0587
0.912814,15.9004
0.90409,14.8376
0.895549,13.8448
0.889464,13.1632
0.884374,12.6062
0.879081,12.0546
0.873914,11.532
0.869056,11.0578
0.868835,11.0148
0.868083,10.9279
0.866348,10.7534
0.865053,10.6222
0.862796,10.4132
0.860446,10.1979
0.858072,9.98288
0.854706,9.68934
0.851624,9.43204
0.848124,9.13953
0.843889,8.80427
0.840068,8.51062
0.83572,8.18053
0.831145,7.85753
0.82639,7.52292
0.821508,7.19835
0.816444,6.87389
0.811044,6.54633
0.804759,6.17857
0.798966,5.86035
0.793727,5.58355
0.787468,5.26984
0.7809,4.95914
0.774799,4.68668
0.768433,4.42024
0.761828,4.15376
0.756037,3.93669
0.748985,3.68543
0.742702,3.47502
0.736164,3.26758
0.730505,3.09596
0.723353,2.89468
0.718541,2.76186
0.710787,2.56896
0.705414,2.43492
0.70002,2.31141
0.692634,2.15101
0.686584,2.02708
0.681706,1.93146
0.674887,1.80363
0.667763,1.67798
0.662356,1.58808
0.656846,1.49927
0.651016,1.41073
0.647165,1.35324
0.641137,1.26764
0.635085,1.18676
0.628366,1.10382
0.624076,1.04909
0.617302,0.971703
0.612744,0.920647
0.608051,0.872037
0.603139,0.821576
0.595767,0.751612
0.590723,0.704032
0.585356,0.658803
0.579855,0.613351
0.574498,0.570729
0.571655,0.548826
0.562986,0.488252
0.560093,0.469456
0.554237,0.432884
0.548277,0.395637
0.545192,0.37873
0.538855,0.345861
0.532302,0.312526
0.525781,0.282782
0.522142,0.267694
0.515377,0.240917
0.512046,0.22805
0.504801,0.202546
0.501304,0.191361
0.49766,0.180483
0.489955,0.158462
0.482967,0.14035
0.482731,0.139871
0.474711,0.121918
0.466741,0.105845
0.466871,0.105855
0.458661,0.0918759
0.45033,0.079428
0.450614,0.0792505
0.441997,0.0673904
0.437691,0.0624695
0.433508,0.0579331
0.424984,0.0493767
0.424723,0.0490833
0.41618,0.0416994
0.411479,0.0382232
0.407352,0.0352361
0.402904,0.0325167
0.393409,0.0269745
0.393364,0.0268512
0.384334,0.0225279
0.379902,0.0206591
0.380069,0.0201956
0.370936,0.0172273
0.361424,0.0141662
0.361644,0.0140898
0.352453,0.0116022
0.352502,0.0117994
0.34296,0.00939667
0.338218,0.00847953
