#ID:	2
#type:	Set light intensity
#start_time:	16/04/2025 17.46.08
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
##Sample holder climate : temperature:	[32.808,32.808] °C
##Sample holder climate : relative humidity:	[30.803,30.803] %
##IR temperature [0]:	[34.89,34.89] °C
##Stage temperature:	[33.9076,33.9076] °C
##Light intensity:	[0,100] %
#
#wavelength (nm),intensity (W/m2/nm)
330,0
332.969,3.89408E-5
335.937,7.4997E-5
338.906,0.0227589
341.875,0.0109497
344.844,1.10515E-5
347.812,3.33631E-5
350.781,1.99526E-5
353.75,0.0931337
356.719,0.211083
359.687,0.631555
362.656,1.36507
365.625,2.49153
368.594,3.08428
371.562,3.09967
374.531,2.95936
377.5,2.77248
380.469,2.56632
383.437,2.4844
386.406,2.83706
389.375,3.07514
392.344,3.71004
395.312,3.61415
398.281,2.90441
401.25,2.36688
404.219,2.42211
407.187,2.52136
410.156,3.10121
413.125,4.47469
416.094,6.00263
419.062,5.76199
422.031,4.76
425,4.20367
427.969,4.05692
430.937,4.42911
433.906,5.21163
436.875,6.5567
439.844,7.71917
442.812,8.04744
445.781,7.20724
448.75,5.78104
451.719,5.18509
454.687,4.88348
457.656,4.97783
460.625,4.83573
463.594,4.97894
466.562,5.5511
469.531,5.35888
472.5,4.91446
475.469,4.39332
478.437,4.03969
481.406,3.82524
484.375,3.73268
487.344,3.72818
490.312,3.70643
493.281,3.76145
496.25,3.83102
499.219,3.94575
502.187,4.17036
505.156,4.28564
508.125,4.43732
511.094,4.56691
514.062,4.57365
517.031,4.64252
520,4.65778
522.969,4.66542
525.937,4.7971
528.906,4.74298
531.875,4.78724
534.844,4.84546
537.812,4.83849
540.781,4.9274
543.75,4.8875
546.719,4.90147
549.687,4.87144
552.656,4.75363
555.625,4.71831
558.594,4.54007
561.562,4.43514
564.531,4.33267
567.5,4.2421
570.469,4.22036
573.437,4.05695
576.406,4.01849
579.375,3.94958
582.344,3.92494
585.312,3.87773
588.281,3.76158
591.25,3.77659
594.219,3.63887
597.187,3.59674
600.156,3.47349
603.125,3.44395
606.094,3.3274
609.062,3.20366
612.031,3.25623
615,3.14209
617.969,3.02776
620.937,3.04353
623.906,2.95403
626.875,2.95856
629.844,2.96226
632.812,2.91423
635.781,2.86339
638.75,2.8764
641.719,2.8021
644.687,2.71788
647.656,2.73172
650.625,2.67798
653.594,2.64872
656.562,2.40528
659.531,2.17778
662.5,1.94552
665.469,1.83075
668.437,1.74875
671.406,1.8789
674.375,1.93073
677.344,2.10612
680.312,2.26966
683.281,2.33587
686.25,2.61429
689.219,2.55165
692.187,2.5228
695.156,2.34342
698.125,2.23985
701.094,2.36801
704.062,2.65619
707.031,2.98439
710,3.19033
712.969,3.41145
715.937,3.40664
718.906,3.5057
