#ID:	4
#type:	Stressing
#start_time:	16/04/2025 17.48.52
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
#wait_duration:	1 min
#point_rate:	2 1/s
#point_spacing:	0 linear
#setpoint:	Inf W
##Sample holder climate : temperature:	[29.964,29.099] °C
##Sample holder climate : relative humidity:	[32.155,32.667] %
##IR temperature [0]:	[31.53,29.85] °C
##Stage temperature:	[30.2538,29.3448] °C
##Light intensity:	[0,0] %
#Power:	-0.000659231 mW
#Current:	0.000439099 mA
#Voltage:	-1.50133 V
#
#time (s),Voltage (V),current (mA),Power (mW),PCE (%)
1.15087,0.244795,0.00078195,0.000191417,Inf
1.67603,0.194511,-1.98627E-5,-3.86352E-6,Inf
2.18901,0.143848,-1.19314E-5,-1.71631E-6,Inf
2.70938,0.169148,4.37793E-5,7.40518E-6,Inf
3.2313,-0.0348749,0.000199255,-6.94897E-6,Inf
3.75882,-0.234186,0.000145147,-3.39913E-5,Inf
4.28574,-0.434458,4.41911E-5,-1.91992E-5,Inf
4.81664,-0.638346,1.72059E-5,-1.09833E-5,Inf
5.34152,-0.829105,0.000228392,-0.000189361,Inf
5.86339,-1.03573,1.00834E-5,-1.04437E-5,Inf
6.39095,-1.2341,0.000306103,-0.000377761,Inf
6.92545,-1.4382,0.000355553,-0.000511358,Inf
7.44264,-1.6348,0.0004987,-0.000815273,Inf
7.97502,-1.53606,0.000158367,-0.000243262,Inf
8.49738,-1.48724,0.0004907,-0.000729789,Inf
9.02466,-1.53562,0.000469043,-0.000720274,Inf
9.55579,-1.5119,0.000571602,-0.000864204,Inf
10.0928,-1.49684,0.000242666,-0.000363232,Inf
10.6212,-1.51174,0.000443387,-0.000670284,Inf
11.1508,-1.50633,0.000553342,-0.000833514,Inf
11.6736,-1.5016,0.000363485,-0.00054581,Inf
12.2051,-1.50151,0.000437455,-0.000656844,Inf
12.72,-1.49689,0.000548411,-0.000820912,Inf
13.2561,-1.50152,0.000471975,-0.000708679,Inf
13.7852,-1.49638,0.000545945,-0.000816943,Inf
14.3172,-1.5012,0.000287049,-0.000430917,Inf
14.8409,-1.50166,0.000388142,-0.000582856,Inf
15.3633,-1.49689,0.000353622,-0.000529332,Inf
15.8944,-1.50183,0.000405401,-0.000608846,Inf
16.4212,-1.49698,0.000501563,-0.000750828,Inf
16.9559,-1.50144,0.00047444,-0.000712346,Inf
17.4849,-1.49674,0.000422661,-0.000632614,Inf
18.0221,-1.50124,0.000252529,-0.000379107,Inf
18.5537,-1.50151,0.000237735,-0.000356961,Inf
19.0765,-1.50173,0.000454715,-0.000682859,Inf
19.6041,-1.50193,0.00029198,-0.000438535,Inf
20.1267,-1.50174,0.000385676,-0.000579186,Inf
20.6491,-1.50171,0.000141573,-0.000212603,Inf
21.1811,-1.49679,0.000553342,-0.000828236,Inf
21.7117,-1.50202,0.000240201,-0.000360787,Inf
22.2392,-1.50133,0.000570602,-0.00085666,Inf
22.7605,-1.49677,0.000380745,-0.000569885,Inf
23.2898,-1.50155,0.000126779,-0.000190366,Inf
23.8281,-1.5016,0.000178559,-0.000268123,Inf
24.3501,-1.49658,0.000289514,-0.000433282,Inf
24.8797,-1.50154,0.000385676,-0.000579106,Inf
25.4113,-1.50127,0.000523754,-0.000786295,Inf
25.9404,-1.49698,0.000420195,-0.000629026,Inf
26.468,-1.50129,0.000402936,-0.000604922,Inf
26.9906,-1.49682,0.000346225,-0.000518236,Inf
27.5258,-1.50176,0.000245132,-0.00036813,Inf
