#ID:	1
#type:	Perform parallel JV
#start_time:	16/04/2025 16.42.39
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
#start_voltage:	-0.2 V
#stop_voltage:	1.4 V
#Scan rate:	10 mV/s
#settling_time:	10 ms
#direction:	3 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample holder climate : temperature:	[21.486,21.627] °C
##Sample holder climate : relative humidity:	[38.921,38.428] %
##IR temperature [0]:	[21.33,23.33] °C
##Stage temperature:	[21.3819,21.4165] °C
##Light intensity:	[0,0] %
#
#voltage (V),current (mA)
1.39885,-0.000390539
1.39387,-5.76716E-5
1.38943,-0.000213831
1.38428,-0.000343307
1.37971,-0.000488166
1.37469,-0.000229269
1.365,-0.000225804
1.36517,-0.000203613
1.36013,-0.000228269
1.35497,-0.00025046
1.34526,-0.000311103
1.34535,-0.000394936
1.33551,-0.000431921
1.33582,-0.000594656
1.32554,-0.000359416
1.32601,-0.000539411
1.31585,-0.000263255
1.31108,-0.000726803
1.30622,-0.000267186
1.30631,-0.000294308
1.29645,-0.00059019
1.29163,-0.000291843
1.28684,-0.000110848
1.28187,-0.000248926
1.27692,-0.000261255
1.27199,-0.000345088
1.26734,-0.000307103
1.25759,-8.02598E-5
1.25752,-0.000432852
1.25284,-0.000151765
1.24307,-0.000180353
1.24281,-0.000380073
1.23277,-0.00035295
1.23265,-0.000148299
1.22333,-0.00024346
1.21819,-0.00018675
1.2185,-0.000174421
1.2086,-0.000222735
1.20326,-0.00036821
1.19845,-0.000318897
1.19858,-0.000489029
1.18897,-0.00025872
1.17901,-0.000211872
1.17893,-0.000110779
1.17456,-0.000118176
1.16956,-0.000128039
1.15943,-0.000255255
1.15985,-0.000112245
1.1497,-0.000415524
1.15,-0.000413058
1.14022,-0.000419455
1.14044,-0.000552602
1.1312,-0.000458906
1.12633,-0.000206407
1.12146,-0.000125039
1.11192,-0.000226132
1.11159,-5.6E-5
1.10719,-3.28089E-5
1.10237,-0.000296637
1.09265,-0.000131436
1.09285,-0.000422387
1.08288,-0.00019701
1.08322,-0.000357279
1.07335,-2.19461E-5
1.06885,-0.000260117
1.06414,-0.000220666
1.06378,-0.000430249
1.05442,-0.000297103
1.04494,-0.000340485
1.04507,-0.000333088
1.04015,-0.000281308
1.03566,-0.000180215
1.02615,-0.000169353
1.02596,-0.000112642
1.01671,-0.00045044
1.01218,-0.000198941
1.00734,-0.000370539
1.00254,-0.000365607
0.997784,-0.000234926
0.993046,-0.000143696
0.988407,0.000108804
0.978789,-0.000187078
0.978839,-1.69461E-5
0.973997,-0.000115573
0.964587,-0.000178681
0.959887,-0.000343882
0.959866,-0.000220598
0.950731,-0.000129368
0.945362,-5.93284E-5
0.940948,-0.000328088
0.936323,-0.000202338
0.931619,-0.000128368
0.921946,-4.84657E-5
0.921874,-7.31225E-5
0.912323,1.5642E-5
0.912471,-3.12059E-5
0.902962,-0.000281705
0.90332,-0.000195407
0.893826,-0.000257049
0.888894,-0.00027824
0.884462,-0.000485357
0.87494,-0.000132765
0.874937,-0.000391661
0.869975,3.24361E-5
0.865608,-9.97107E-5
0.855718,5.06959E-5
0.855979,-0.000274774
0.845628,-0.000140627
0.840858,-0.000263911
0.835691,-0.000207201
0.835616,-0.000209666
0.826156,-0.000312225
0.821348,-0.00025798
0.816097,-0.000265377
0.811583,-0.000319622
0.80675,1.91659E-6
0.801593,-6.95882E-5
0.796796,-0.000340813
0.791827,-0.000372867
0.787128,-0.000268308
0.777449,-0.00032995
0.777051,-0.00011297
0.772221,-0.000201735
0.767406,-0.00036347
0.757486,-0.000173613
0.757561,-8.4848E-5
0.74798,-0.00023672
0.748104,3.45048E-5
0.738035,-0.000286034
0.733341,-9.61764E-5
0.72839,-0.000137093
0.728384,-0.000267774
0.718806,-0.0002875
0.713783,-0.000511877
0.709003,-0.00039499
0.704008,-0.000330882
0.698978,4.88332E-5
0.693799,-0.000424578
0.689247,-3.15343E-5
0.684325,-7.83823E-5
0.679582,4.73675E-5
0.669574,-0.00014249
0.669853,-0.000189338
0.659693,-0.000143956
0.659564,-0.000104505
0.654476,-0.000304225
0.645115,-0.000133093
0.644691,-0.000133093
0.635208,-0.000133093
0.635109,-0.000101039
0.625292,3.31077E-5
0.620377,-0.000297294
0.620661,-0.000169078
0.610615,-0.000117299
0.605537,4.64361E-5
0.600868,-8.91764E-5
0.595833,-0.000126162
0.591054,-0.000111368
0.585779,-0.000147353
0.58062,-0.000125162
0.57585,-0.000194201
0.571092,-4.87255E-5
0.561335,-0.000129093
0.561141,-0.000138956
0.556528,4.35048E-5
0.546811,-0.00022672
0.546888,-5.16568E-5
0.536856,-0.000113299
0.536847,-0.000409181
0.527223,-0.000363798
0.52248,-8.74023E-6
0.52265,-0.000302156
0.513412,-0.00015175
0.508807,4.65048E-5
0.503961,-0.000204995
0.494322,-0.000118696
0.494042,-4.71911E-5
0.489403,-7.1848E-5
0.485086,-0.00014975
0.475183,-0.000295225
0.470297,-7.8245E-5
0.470573,-6.83823E-5
0.460877,-0.000259705
0.456031,-4.51911E-5
0.451466,-4.76568E-5
0.446698,0.000209774
0.442003,0.000113613
0.437478,3.9642E-5
0.428037,-0.000200995
0.427735,-0.000127024
0.422678,-0.00023798
0.413428,-0.000282362
0.41368,7.02302E-5
0.404503,-0.000130956
0.399605,-0.000138353
0.395022,-0.000118627
0.390175,-0.000217255
0.385101,-0.000105299
0.380564,0.000158529
0.371183,-8.31077E-5
0.371473,-0.000120093
0.361816,-0.000301553
0.361999,-0.000173338
0.352381,7.56959E-5
0.347497,0.000158063
0.342612,-5.39852E-5
0.342885,-0.000127956
0.333465,-0.000293156
0.323989,-5.79166E-5
0.323754,-9.98332E-5
0.319393,-7.27107E-5
0.30955,-0.000154078
0.30983,-0.000156544
0.300366,-0.000227049
0.300365,1.70539E-5
0.290872,-7.60295E-6
0.286403,-0.000369058
0.281488,1.55882E-5
0.276724,-0.00019646
0.272059,-0.000102765
0.267016,-0.000128887
0.262264,-0.000183132
0.257763,0.000184255
0.248192,-3.41911E-5
0.248271,2.99166E-5
0.238474,-4.15882E-5
0.2333,3.23823E-5
0.233448,1.26568E-5
0.223192,-2.08627E-5
0.218169,-1.8397E-5
0.218164,-6.77107E-5
