#ID:	4
#type:	Stressing
#start_time:	16/04/2025 17.41.05
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
#wait_duration:	1 min
#point_rate:	2 1/s
#point_spacing:	0 linear
#setpoint:	Inf W
##Sample holder climate : temperature:	[34.779,36.886] °C
##Sample holder climate : relative humidity:	[31.739,30.744] %
##IR temperature [0]:	[44.35,46.49] °C
##Stage temperature:	[51.4341,54.4878] °C
##Light intensity:	[100,100] %
#Power:	-0.148773 mW
#Current:	-0.429563 mA
#Voltage:	0.346336 V
#
#time (s),Voltage (V),current (mA),Power (mW),PCE (%)
1.10255,0.50782,0.0712704,0.0361925,0.14477
1.63487,0.476987,-0.0961461,-0.0458604,0.183442
2.14794,0.44276,-0.234141,-0.103668,0.414673
2.67891,0.401306,-0.348423,-0.139824,0.559298
3.19546,0.359886,-0.420481,-0.151325,0.6053
3.71821,0.316369,-0.468367,-0.148177,0.592708
4.23606,0.33814,-0.447087,-0.151178,0.604711
4.76529,0.364079,-0.414179,-0.150794,0.603175
5.28828,0.351416,-0.431416,-0.151607,0.606427
5.81485,0.333816,-0.451683,-0.150779,0.603116
6.33655,0.342592,-0.442018,-0.151432,0.605727
6.86844,0.351513,-0.431631,-0.151724,0.606896
7.39285,0.363896,-0.414361,-0.150785,0.603138
7.92096,0.360026,-0.419463,-0.151018,0.60407
8.44564,0.351428,-0.430669,-0.151349,0.605396
8.97984,0.342997,-0.441219,-0.151337,0.605346
9.51493,0.347092,-0.435895,-0.151296,0.605183
10.043,0.34731,-0.435479,-0.151246,0.604984
10.5635,0.347104,-0.435947,-0.151319,0.605275
11.0899,0.347082,-0.435809,-0.151262,0.605046
11.6131,0.346923,-0.435516,-0.15109,0.604361
12.1429,0.347104,-0.435585,-0.151193,0.604772
12.654,0.346656,-0.4361,-0.151176,0.604706
13.1784,0.347067,-0.435659,-0.151203,0.604811
13.7043,0.347159,-0.435609,-0.151226,0.604903
14.2261,0.346838,-0.43593,-0.151197,0.604788
14.7494,0.347102,-0.435252,-0.151077,0.604307
15.2811,0.347222,-0.435528,-0.151225,0.6049
15.8047,0.347107,-0.435264,-0.151083,0.604333
16.3311,0.347148,-0.434798,-0.150939,0.603758
16.8528,0.347148,-0.435064,-0.151032,0.604127
17.3712,0.347069,-0.434897,-0.150939,0.603758
17.8937,0.347006,-0.43466,-0.15083,0.603318
18.427,0.346918,-0.434406,-0.150703,0.602814
18.9544,0.347068,-0.434687,-0.150866,0.603464
19.4761,0.347112,-0.434825,-0.150933,0.603731
20.002,0.346651,-0.434781,-0.150717,0.602869
20.521,0.34727,-0.434665,-0.150946,0.603785
21.0544,0.346839,-0.434529,-0.150712,0.602846
21.5858,0.346792,-0.434791,-0.150782,0.603128
22.1134,0.346587,-0.434118,-0.15046,0.601838
22.6406,0.34676,-0.434243,-0.150578,0.602313
23.1488,0.346861,-0.434206,-0.150609,0.602437
23.6731,0.346777,-0.434086,-0.150531,0.602124
24.1899,0.346756,-0.434381,-0.150624,0.602497
24.7203,0.34671,-0.434275,-0.150568,0.602271
25.2457,0.346802,-0.433846,-0.150459,0.601836
25.7795,0.347004,-0.433681,-0.150489,0.601956
26.2986,0.346624,-0.43379,-0.150362,0.601448
26.8312,0.346648,-0.434155,-0.150499,0.601995
27.3588,0.347013,-0.433605,-0.150467,0.601866
27.8827,0.346671,-0.434312,-0.150564,0.602254
28.404,0.346891,-0.433521,-0.150385,0.601539
28.934,0.346783,-0.433629,-0.150375,0.601501
29.4604,0.347016,-0.432964,-0.150245,0.600981
29.9799,0.346937,-0.433186,-0.150288,0.601153
30.5029,0.346825,-0.433319,-0.150286,0.601143
31.0242,0.346948,-0.432621,-0.150097,0.600387
31.552,0.346679,-0.43307,-0.150136,0.600545
32.0816,0.346891,-0.433272,-0.150298,0.601192
32.6141,0.346874,-0.432796,-0.150126,0.600503
33.1398,0.346835,-0.433067,-0.150203,0.600812
33.6517,0.346654,-0.43285,-0.150049,0.600197
34.1837,0.346411,-0.432801,-0.149927,0.599708
34.715,0.346697,-0.432761,-0.150037,0.600148
35.2401,0.346628,-0.433208,-0.150162,0.600647
35.7691,0.346411,-0.432885,-0.149956,0.599824
36.2928,0.346547,-0.432192,-0.149775,0.599098
36.8239,0.346815,-0.432683,-0.150061,0.600243
37.3521,0.346596,-0.432981,-0.150069,0.600278
37.8825,0.346766,-0.432059,-0.149823,0.599293
38.4081,0.346601,-0.432813,-0.150014,0.600054
