#ID:	3
#type:	Perform parallel JV
#start_time:	16/04/2025 17.46.09
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
#start_voltage:	-0.2 V
#stop_voltage:	1.4 V
#Scan rate:	10 mV/s
#settling_time:	10 ms
#direction:	1 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample holder climate : temperature:	[32.808,29.964] °C
##Sample holder climate : relative humidity:	[30.803,32.155] %
##IR temperature [0]:	[34.89,31.53] °C
##Stage temperature:	[33.9076,30.2538] °C
##Light intensity:	[0,0] %
#
#voltage (V),current (mA)
1.10542,50.0839
1.10401,50.0562
1.10308,50.061
1.10241,50.0697
1.10191,50.075
1.10152,50.0797
1.1012,50.0808
1.10095,50.0855
1.10073,50.0841
1.10056,50.0867
1.10038,50.0913
1.10026,50.0888
1.10009,50.0905
1.09999,50.093
1.09989,50.0897
1.0998,50.0926
1.09972,50.092
1.09965,50.0929
1.09954,50.0953
1.09947,50.0964
1.0994,50.0991
1.09933,50.0999
1.09927,50.0952
1.09921,50.0975
1.09914,50.0961
1.09909,50.0951
1.09901,50.0965
1.09902,50.0982
1.09892,50.0988
1.09886,50.0947
1.09883,50.0955
1.09877,50.0952
1.09874,50.0955
1.09868,50.0946
1.09866,50.0975
1.09863,50.0978
1.09859,50.0983
1.09856,50.0972
1.09848,50.0962
1.09848,50.0985
1.09839,50.0955
1.09841,50.0986
1.09839,50.0978
1.09831,50.0956
1.0983,50.0972
1.09827,50.0981
1.09823,50.0985
1.09821,50.0953
1.09818,50.098
1.09817,50.0986
1.09811,50.0993
1.09811,50.1002
1.0981,50.1029
1.09807,50.0978
1.09806,50.0992
1.09802,50.0979
1.098,50.0998
1.09795,50.0971
1.09794,50.0982
1.09777,50.0599
1.09753,50.0084
1.09695,49.8754
1.09642,49.7379
1.09546,49.5122
1.09452,49.2907
1.09338,49.0114
1.09208,48.6958
1.09077,48.3751
1.08911,47.9702
1.08747,47.5676
1.08557,47.1155
1.08352,46.6146
1.07739,45.1647
1.07144,43.7711
1.0651,42.3117
1.05889,40.895
1.05255,39.4774
1.04619,38.0695
1.03967,36.6649
1.03334,35.3183
1.02684,33.971
1.02028,32.6326
1.01345,31.2779
1.00663,29.9622
0.999664,28.6453
0.992906,27.3932
0.985931,26.146
0.978667,24.8858
0.971243,23.6353
0.964121,22.4744
0.95658,21.2877
0.948946,20.1318
0.941304,19.0191
0.933426,17.9106
0.924921,16.771
0.916391,15.6844
0.908154,14.6871
0.899834,13.7225
0.894878,13.159
0.889657,12.5944
0.884735,12.0757
0.879658,11.5625
0.873989,11.0152
0.869185,10.5586
0.869328,10.5578
0.868095,10.4286
0.866792,10.3048
0.865453,10.1763
0.863194,9.9702
0.860773,9.75943
0.857851,9.51231
0.854918,9.26341
0.851769,9.00709
0.848018,8.71234
0.843641,8.37976
0.839731,8.08968
0.835103,7.75888
0.830292,7.43327
0.825283,7.104
0.820753,6.81986
0.815355,6.49203
0.809815,6.17335
0.804038,5.85686
0.797971,5.54169
0.791749,5.23411
0.785965,4.96384
0.779053,4.66129
0.772726,4.39917
0.766939,4.16906
0.759934,3.9075
0.75347,3.68399
0.746771,3.46378
0.739894,3.24923
0.733804,3.06982
0.727586,2.89782
0.721015,2.72401
0.715598,2.58725
0.708549,2.42061
0.702656,2.28772
0.696484,2.15695
0.69179,2.0611
0.685527,1.93704
0.678595,1.81228
0.673568,1.7234
0.666404,1.60557
0.661167,1.5194
0.657275,1.46053
0.649605,1.34872
0.645896,1.29619
0.639699,1.21429
0.633509,1.13562
0.629404,1.08311
0.622919,1.00893
0.616292,0.936492
0.611773,0.888718
0.607173,0.840315
0.60247,0.794151
0.595227,0.72845
0.5902,0.6839
0.585026,0.640465
0.577141,0.580388
0.574535,0.55942
0.568999,0.519214
0.563469,0.481181
0.557708,0.445526
0.551712,0.410409
0.548577,0.392837
0.542492,0.358055
0.536256,0.326636
0.52929,0.294164
0.525816,0.279703
0.518958,0.251439
0.515631,0.238081
0.508267,0.211348
0.504781,0.199035
0.50105,0.18804
0.49367,0.166598
0.486048,0.146129
0.486009,0.146669
0.478366,0.128245
0.470391,0.11075
0.46621,0.104038
0.461947,0.096178
0.458121,0.0893168
0.453915,0.0831483
0.445414,0.0714732
0.441112,0.0656745
0.436784,0.0607708
0.428291,0.0517435
0.42812,0.051603
0.41922,0.0437901
0.414667,0.0402128
0.410319,0.037025
0.405644,0.0335843
0.400923,0.0308354
0.39172,0.025695
0.391982,0.0255101
0.382663,0.0212656
0.377795,0.0193895
0.3736,0.0177056
0.368711,0.0158698
0.364053,0.0145139
0.35454,0.0118093
0.354685,0.0118142
0.349735,0.0105741
0.34008,0.00843763
0.339958,0.00880005
0.33052,0.00729123
0.326055,0.00664381
0.325592,0.00599533
0.316216,0.00511015
0.31129,0.00439264
0.306571,0.00410269
0.301754,0.00365393
0.297169,0.00319778
0.2921,0.00266766
0.287547,0.00235059
0.277757,0.00174896
0.277562,0.00148513
0.27321,0.00157636
0.263521,0.00106204
0.263556,0.00111875
0.253306,0.000628077
0.253153,0.000805606
0.243015,0.000631543
0.243224,0.000394838
0.233677,0.000365249
0.228938,0.000366249
0.228495,0.00027995
0.218549,7.03675E-5
0.214185,0.000270088
0.209064,6.15048E-5
0.20463,0.00034999
0.199239,9.1093E-5
0.194163,-2.23284E-5
0.189402,3.19166E-5
0.179392,-0.000144613
0.179298,6.25048E-5
0.174513,0.000230171
0.169303,8.32302E-5
0.159586,-3.75882E-5
0.159512,2.15882E-5
0.149711,4.6245E-5
0.149918,-7.21077E-5
0.139931,-0.000179598
0.139952,7.79409E-6
0.130362,-6.61764E-5
0.12555,-7.75048E-5
0.120791,-7.50391E-5
0.115612,0.000186323
0.11086,-0.00018846
0.106344,0.000221843
0.100917,9.85586E-5
0.0959485,4.1848E-5
0.090875,8.12989E-5
0.0861003,5.7642E-5
0.0812969,3.54509E-5
0.0717521,-0.000156872
0.0717853,-0.000107559
0.0615728,0.000107956
0.0619264,-2.27255E-5
0.0517752,0.00012275
0.0519846,-0.000106559
0.0422316,-0.000226377
0.0375438,-5.13136E-5
0.0322633,-7.35048E-5
0.0323255,5.47107E-5
0.0228907,9.02302E-5
0.018002,0.000119818
0.0130822,-1.82598E-5
0.00801202,0.000123284
0.00293529,6.1642E-5
-0.00674779,-6.1642E-5
-0.00631039,-8.38332E-5
-0.0116386,0.00020072
-0.0169227,5.03136E-5
-0.0262587,0.000190858
