#ID:	4
#type:	Stressing
#start_time:	16/04/2025 17.48.52
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
#wait_duration:	1 min
#point_rate:	2 1/s
#point_spacing:	0 linear
#setpoint:	Inf W
##Sample holder climate : temperature:	[29.964,29.099] °C
##Sample holder climate : relative humidity:	[32.155,32.667] %
##IR temperature [0]:	[31.53,29.85] °C
##Stage temperature:	[30.2538,29.3448] °C
##Light intensity:	[0,0] %
#Power:	-0.000707977 mW
#Current:	0.000471975 mA
#Voltage:	-1.50003 V
#
#time (s),Voltage (V),current (mA),Power (mW),PCE (%)
1.15087,0.164836,0.000280485,4.6234E-5,Inf
1.67603,0.116003,-0.000102162,-1.1851E-5,Inf
2.18901,0.0669082,-0.000118887,-7.95452E-6,Inf
2.70938,0.0911906,-5.1848E-5,-4.72805E-6,Inf
3.2313,0.0813121,-6.5642E-5,-5.3375E-6,Inf
3.75882,0.062132,-0.000153407,-9.53146E-6,Inf
4.28574,0.0469789,-1.67941E-5,-7.88968E-7,Inf
4.81664,0.052142,1.91911E-5,1.00066E-6,Inf
5.34152,-0.144811,0.000194392,-2.81502E-5,Inf
5.86339,-0.350808,7.47107E-5,-2.62091E-5,Inf
6.39095,-0.542673,0.000246446,-0.000133739,Inf
6.92545,-0.745153,0.000406852,-0.000303167,Inf
7.44264,-0.945031,0.000451372,-0.000426561,Inf
7.97502,-1.14189,0.000286308,-0.000326932,Inf
8.49738,-1.33954,0.000200147,-0.000268105,Inf
9.02466,-1.53893,0.000444387,-0.000683879,Inf
9.55579,-1.43645,0.000518288,-0.000744497,Inf
10.0928,-1.53883,0.000478906,-0.000736953,Inf
10.6212,-1.48984,0.000466043,-0.000694329,Inf
11.1508,-1.53872,0.000616984,-0.000949367,Inf
11.6736,-1.50931,0.000721009,-0.00108823,Inf
12.2051,-1.49947,0.000548411,-0.000822326,Inf
12.72,-1.50907,0.000437455,-0.000660151,Inf
13.2561,-1.50453,0.000422661,-0.000635906,Inf
13.7852,-1.50455,0.000496632,-0.000747209,Inf
14.3172,-1.49963,0.000311705,-0.000467443,Inf
14.8409,-1.50457,0.00016623,-0.000250105,Inf
15.3633,-1.49963,0.000156368,-0.000234494,Inf
15.8944,-1.50441,0.000220475,-0.000331684,Inf
16.4212,-1.49939,0.000415264,-0.000622641,Inf
16.9559,-1.50449,0.000363485,-0.000546861,Inf
17.4849,-1.50424,0.000471975,-0.000709964,Inf
18.0221,-1.49956,0.000573068,-0.000859351,Inf
18.5537,-1.5047,0.000410333,-0.000617427,Inf
19.0765,-1.49998,0.000158833,-0.000238246,Inf
19.6041,-1.5049,0.000328965,-0.000495061,Inf
20.1267,-1.50456,0.000336362,-0.000506076,Inf
20.6491,-1.50498,0.000486769,-0.000732576,Inf
21.1811,-1.49973,0.000306774,-0.000460077,Inf
21.7117,-1.50468,0.00040047,-0.00060258,Inf
22.2392,-1.49998,0.000422661,-0.000633985,Inf
22.7605,-1.50492,0.000368416,-0.000554436,Inf
23.2898,-1.50493,0.000262392,-0.000394882,Inf
23.8281,-1.49984,0.000573068,-0.000859512,Inf
24.3501,-1.50474,0.000610053,-0.000917969,Inf
24.8797,-1.49992,0.000521288,-0.000781893,Inf
25.4113,-1.50471,0.000301843,-0.000454186,Inf
25.9404,-1.50448,0.000370882,-0.000557983,Inf
26.468,-1.50006,0.000427593,-0.000641413,Inf
26.9906,-1.50018,0.000395539,-0.00059338,Inf
27.5258,-1.49994,0.000627313,-0.000940931,Inf
28.0528,-1.4999,0.000316637,-0.000474925,Inf
28.5853,-1.49998,0.00040047,-0.000600695,Inf
29.1054,-1.50001,0.000311705,-0.000467561,Inf
29.6304,-1.49987,0.000437455,-0.000656127,Inf
30.1537,-1.50006,0.000486769,-0.000730184,Inf
30.6828,-1.49993,0.000237735,-0.000356585,Inf
31.2171,-1.50008,0.000412798,-0.000619229,Inf
31.7488,-1.50019,0.000575533,-0.000863408,Inf
32.2793,-1.50013,0.000563205,-0.000844882,Inf
32.7985,-1.50002,0.000395539,-0.000593315,Inf
33.3293,-1.5,0.000390607,-0.00058591,Inf
33.8557,-1.49993,0.0004917,-0.000737516,Inf
34.3894,-1.50023,0.000558274,-0.000837537,Inf
34.9048,-1.50004,0.000533617,-0.000800448,Inf
35.4417,-1.49973,0.000531151,-0.000796584,Inf
35.974,-1.50016,0.000336362,-0.000504599,Inf
36.5021,-1.49992,0.000585396,-0.000878047,Inf
37.0365,-1.49995,0.000314171,-0.000471241,Inf
37.5603,-1.50026,0.000124314,-0.000186503,Inf
38.0933,-1.50004,0.00040047,-0.000600722,Inf
38.6234,-1.50001,0.000558274,-0.000837417,Inf
39.157,-1.50008,0.000272255,-0.000408404,Inf
39.6853,-1.50046,0.000299377,-0.000449203,Inf
40.2168,-1.50035,0.000420195,-0.00063044,Inf
40.7491,-1.5002,0.000476906,-0.000715453,Inf
41.271,-1.50014,0.000504029,-0.000756113,Inf
41.7939,-1.49999,0.000476906,-0.000715356,Inf
42.326,-1.49993,0.000363485,-0.000545201,Inf
42.8495,-1.50038,0.000205681,-0.0003086,Inf
43.3798,-1.49997,5.52745E-5,-8.29104E-5,Inf
43.9042,-1.50003,0.000861553,-0.00129235,Inf
44.4374,-1.50006,0.000489235,-0.000733882,Inf
44.9592,-1.50026,0.000420195,-0.000630402,Inf
45.4909,-1.49997,0.000439921,-0.00065987,Inf
46.0209,-1.49999,0.000637176,-0.000955757,Inf
46.5508,-1.50023,0.000442387,-0.000663682,Inf
47.0855,-1.5001,0.000296911,-0.000445396,Inf
47.6185,-1.50006,0.00027472,-0.000412098,Inf
48.147,-1.50002,0.000560739,-0.000841122,Inf
48.6823,-1.5001,0.000523754,-0.000785682,Inf
49.2073,-1.50008,0.000582931,-0.000874441,Inf
49.7374,-1.49993,0.000629778,-0.000944625,Inf
50.2637,-1.50027,0.000476906,-0.000715487,Inf
50.7964,-1.50011,0.000536083,-0.000804184,Inf
51.3232,-1.50026,0.000363485,-0.000545322,Inf
51.8583,-1.50002,0.000479372,-0.00071907,Inf
52.391,-1.50008,0.000353622,-0.000530463,Inf
52.9055,-1.50038,0.000545945,-0.000819123,Inf
53.4286,-1.49999,0.000467043,-0.000700561,Inf
53.9531,-1.50013,0.000504029,-0.000756109,Inf
54.4843,-1.5001,0.000568136,-0.00085226,Inf
55.0037,-1.49998,0.000338828,-0.000508234,Inf
55.5342,-1.50003,0.000582931,-0.000874411,Inf
56.0658,-1.50015,9.22598E-5,-0.000138404,Inf
56.5941,-1.49966,0.000375813,-0.000563591,Inf
57.1262,-1.49993,0.000425127,-0.000637662,Inf
