#ID:	3
#type:	Perform parallel JV
#start_time:	16/04/2025 17.38.22
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
#start_voltage:	-0.2 V
#stop_voltage:	1.4 V
#Scan rate:	10 mV/s
#settling_time:	10 ms
#direction:	1 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample holder climate : temperature:	[30.245,34.779] °C
##Sample holder climate : relative humidity:	[31.615,31.739] %
##IR temperature [0]:	[31.91,44.35] °C
##Stage temperature:	[30.7062,51.4341] °C
##Light intensity:	[100,100] %
#
#voltage (V),current (mA)
1.10519,50.0423
1.10368,50.0596
1.10244,50.0248
1.10162,50.0334
1.10099,50.0385
1.10045,50.0425
1.10003,50.0469
1.09962,50.0522
1.09925,50.0519
1.09897,50.0555
1.09872,50.0597
1.09846,50.0625
1.09819,50.0613
1.098,50.0644
1.09782,50.0661
1.0976,50.0721
1.09739,50.0706
1.09721,50.0692
1.09704,50.0697
1.09689,50.0751
1.0967,50.0752
1.09655,50.0803
1.09639,50.0774
1.09625,50.0809
1.0961,50.0799
1.09596,50.0812
1.09583,50.0834
1.09569,50.0837
1.09553,50.0882
1.09542,50.0847
1.09532,50.0871
1.09519,50.0894
1.09502,50.0901
1.09498,50.0891
1.09484,50.0931
1.09472,50.093
1.09461,50.0893
1.09446,50.0969
1.09434,50.0958
1.09424,50.093
1.09416,50.0966
1.09409,50.0983
1.09398,50.0975
1.09388,50.0994
1.0938,50.0987
1.09372,50.0989
1.09361,50.0998
1.09352,50.0997
1.09338,50.1006
1.09334,50.1036
1.09322,50.1014
1.09317,50.1042
1.09312,50.1034
1.09301,50.1018
1.09293,50.1085
1.09283,50.1057
1.09279,50.1043
1.0927,50.1055
1.09265,50.108
1.09251,50.1066
1.09247,50.1078
1.09218,50.0581
1.09174,49.974
1.09091,49.7964
1.09013,49.6115
1.08914,49.3867
1.08792,49.1127
1.08672,48.8385
1.08516,48.4773
1.08358,48.1179
1.08186,47.7134
1.0799,47.262
1.07795,46.8078
1.0758,46.3108
1.07363,45.8129
1.0711,45.2248
1.06452,43.7472
1.0578,42.238
1.05098,40.7347
1.04408,39.2299
1.03727,37.773
1.03038,36.3337
1.02361,34.9481
1.01649,33.5166
1.00968,32.1777
1.00233,30.7693
0.995009,29.4052
0.987851,28.1026
0.980508,26.8115
0.97296,25.5149
0.965432,24.2673
0.957633,23.0122
0.94996,21.8193
0.942048,20.6314
0.934009,19.4806
0.925947,18.3649
0.917517,17.2418
0.908813,16.1509
0.899768,15.0629
0.891272,14.0911
0.88496,13.397
0.88009,12.878
0.87466,12.3156
0.869408,11.8016
0.864614,11.3372
0.864286,11.2971
0.863416,11.2092
0.86349,11.207
0.860351,10.9172
0.860413,10.9174
0.855676,10.5002
0.855774,10.5004
0.849878,10.0027
0.850018,10.0028
0.843381,9.46666
0.84336,9.46296
0.823025,7.97321
0.823205,7.97192
0.802354,6.66706
0.802555,6.6656
0.783381,5.63898
0.783608,5.63915
0.775592,5.25472
0.775698,5.25073
0.77228,5.09615
0.772402,5.0957
0.766361,4.82884
0.766519,4.83098
0.757363,4.45455
0.757393,4.45394
0.748542,4.11268
0.748591,4.11106
0.737058,3.7026
0.737057,3.7024
0.726981,3.37662
0.727018,3.37617
0.714993,3.01997
0.715013,3.01914
0.703447,2.70528
0.703396,2.70593
0.691004,2.39951
0.691027,2.40112
0.680784,2.16973
0.680694,2.16738
0.668212,1.91344
0.668246,1.91271
0.656751,1.6961
0.656854,1.69547
0.644785,1.48912
0.644839,1.48874
0.635937,1.34396
0.635998,1.34349
0.624709,1.17578
0.624761,1.17701
0.612975,1.01349
0.613101,1.01472
0.602874,0.883213
0.60266,0.883376
0.589943,0.730358
0.589965,0.731053
0.581003,0.634058
0.580925,0.632647
0.569405,0.516729
0.569526,0.517769
0.559586,0.423986
0.559495,0.421957
0.54955,0.334588
0.549465,0.335643
0.536192,0.227068
0.5362,0.228559
0.527749,0.166619
0.527747,0.166286
0.516236,0.0881649
0.516082,0.0866511
0.507239,0.0325413
0.507254,0.0324797
0.49526,-0.0352571
0.495246,-0.03523
0.482342,-0.0996869
0.482407,-0.0996548
0.475802,-0.129167
0.475823,-0.129327
0.465941,-0.172401
0.465912,-0.171474
0.452043,-0.225113
0.45181,-0.225448
0.44109,-0.260921
0.440956,-0.261569
0.433587,-0.283112
0.433624,-0.283785
0.422351,-0.314509
0.421987,-0.31511
0.410611,-0.34246
0.410751,-0.342482
0.402711,-0.360251
0.402693,-0.359709
0.3906,-0.383729
0.390528,-0.384126
0.378235,-0.405086
0.378048,-0.404985
0.373597,-0.411709
0.373807,-0.411381
0.352441,-0.440653
0.352553,-0.440591
0.357108,-0.434794
0.357017,-0.434688
0.330458,-0.464078
0.330528,-0.463984
0.335256,-0.459097
0.335121,-0.459191
0.312901,-0.479502
0.312772,-0.478573
0.312819,-0.478953
0.312688,-0.479059
0.28948,-0.495086
0.289756,-0.495187
0.294366,-0.491914
0.294081,-0.492069
0.270981,-0.505836
0.271229,-0.505257
0.271107,-0.505449
0.270957,-0.505486
0.252305,-0.51427
0.252313,-0.51464
0.247352,-0.51639
0.247748,-0.516207
0.233507,-0.521602
0.233288,-0.521824
0.223802,-0.525268
0.223493,-0.525058
0.218964,-0.526316
0.218994,-0.526577
0.199881,-0.532079
0.19972,-0.532082
0.199798,-0.532284
0.199851,-0.531961
0.176063,-0.538154
0.176325,-0.538065
0.180946,-0.536931
0.180723,-0.537113
0.157141,-0.542332
0.156925,-0.542428
0.16183,-0.541277
0.162132,-0.541173
0.13298,-0.546982
0.133052,-0.546996
0.14272,-0.544945
0.142542,-0.544967
0.108782,-0.551073
0.109021,-0.551082
0.128294,-0.547609
0.128252,-0.547437
0.0800854,-0.555441
0.0801366,-0.555229
0.114114,-0.549742
0.113596,-0.549851
0.0609863,-0.557829
0.0614278,-0.558048
0.0898852,-0.553695
0.0898216,-0.553942
0.0416585,-0.56112
0.0421033,-0.56113
0.0659979,-0.557417
0.0661342,-0.557109
0.0222715,-0.563525
0.0223511,-0.563496
0.0468588,-0.559473
0.0466199,-0.559791
