#ID:	3
#type:	Perform parallel JV
#start_time:	16/04/2025 17.46.09
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
#start_voltage:	-0.2 V
#stop_voltage:	1.4 V
#Scan rate:	10 mV/s
#settling_time:	10 ms
#direction:	1 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample holder climate : temperature:	[32.808,29.964] °C
##Sample holder climate : relative humidity:	[30.803,32.155] %
##IR temperature [0]:	[34.89,31.53] °C
##Stage temperature:	[33.9076,30.2538] °C
##Light intensity:	[0,0] %
#
#voltage (V),current (mA)
1.09762,50.014
1.09644,49.9745
1.09579,49.983
1.09532,49.987
1.09495,49.9927
1.09464,49.9908
1.09446,49.9938
1.09428,49.9958
1.09412,50.0012
1.09399,49.9973
1.09389,49.9996
1.09376,50.0002
1.09368,50.0002
1.09358,49.9992
1.09349,50.0003
1.09343,50.002
1.09337,50.0005
1.09329,50
1.09327,50.0016
1.09321,50.0033
1.09313,50.0026
1.0931,50.0026
1.09301,50.0004
1.09299,50.0007
1.09291,50.0011
1.09287,49.9996
1.09281,50.0019
1.09283,50.0038
1.09273,50.0011
1.09268,49.9988
1.09268,49.9995
1.09258,49.9974
1.09256,49.9972
1.09252,50.0015
1.0925,50.0008
1.09248,50.0004
1.09244,50.0005
1.09238,49.9988
1.09235,49.9978
1.09233,49.9975
1.09227,50.0001
1.09227,49.9982
1.09225,49.9964
1.09221,49.9961
1.09217,49.9977
1.09216,49.9958
1.09211,49.9931
1.09213,49.9988
1.09205,49.9969
1.09204,50.0009
1.09202,49.9978
1.09202,50.0005
1.09199,49.9986
1.09195,49.9986
1.09193,49.9988
1.09191,49.9961
1.09188,49.9986
1.09187,49.9965
1.09182,49.9967
1.09181,49.9969
1.09178,49.9978
1.0916,49.9515
1.09118,49.861
1.09068,49.7226
1.08981,49.4958
1.08894,49.2727
1.08785,48.9993
1.08662,48.6806
1.08534,48.3605
1.08375,47.9517
1.08216,47.5429
1.08037,47.0913
1.07858,46.6376
1.07643,46.0922
1.07062,44.659
1.06461,43.1908
1.05869,41.7731
1.05261,40.3301
1.04607,38.8082
1.03947,37.3077
1.03328,35.9203
1.02689,34.5294
1.02039,33.131
1.01371,31.7414
1.00719,30.4158
1.00054,29.0905
0.993434,27.7247
0.986417,26.4104
0.979395,25.1339
0.972178,23.8665
0.964737,22.613
0.957291,21.3888
0.949558,20.1788
0.941718,18.9928
0.933817,17.8538
0.925234,16.6696
0.916473,15.5284
0.907771,14.4505
0.899423,13.4721
0.890549,12.4851
0.884468,11.8416
0.879717,11.3518
0.878991,11.2587
0.878232,11.1699
0.876968,11.0364
0.875677,10.8996
0.873469,10.6822
0.871174,10.4575
0.868349,10.1912
0.865409,9.92684
0.862442,9.65746
0.858392,9.3139
0.854861,9.01507
0.8513,8.72748
0.847118,8.39886
0.842226,8.03297
0.837833,7.70846
0.83321,7.3891
0.82776,7.02418
0.822766,6.70424
0.816784,6.34304
0.811186,6.01948
0.805287,5.69192
0.799128,5.37684
0.792686,5.06271
0.785845,4.74606
0.779571,4.47722
0.77303,4.20828
0.766128,3.9447
0.760224,3.72903
0.753827,3.51323
0.747187,3.30221
0.740272,3.09306
0.73293,2.88923
0.727847,2.75341
0.721321,2.58672
0.714434,2.42505
0.70864,2.2948
0.702628,2.16616
0.696525,2.04319
0.69012,1.9193
0.683316,1.79559
0.679803,1.73585
0.67231,1.61459
0.666683,1.52524
0.660816,1.43739
0.654721,1.35098
0.648302,1.26578
0.644067,1.21116
0.639695,1.15564
0.632941,1.07388
0.626267,0.998312
0.621436,0.947629
0.616519,0.896997
0.611672,0.848815
0.606715,0.801633
0.598891,0.730321
0.596154,0.707728
0.588041,0.641681
0.585315,0.620224
0.576937,0.557645
0.573955,0.536368
0.568166,0.496052
0.562145,0.458758
0.555733,0.420453
0.552641,0.403592
0.54639,0.370167
0.543269,0.352249
0.536642,0.320977
0.530235,0.291378
0.523143,0.262371
0.519775,0.24959
0.516158,0.235074
0.509131,0.210619
0.505513,0.199035
0.498044,0.176452
0.494141,0.165291
0.4865,0.146301
0.486545,0.145917
0.478833,0.127813
0.470621,0.111268
0.466319,0.1032
0.462607,0.0966834
0.454024,0.0832765
0.454353,0.0831483
0.445715,0.0713499
0.441457,0.0659704
0.436972,0.0610297
0.42849,0.0520886
0.428122,0.0518988
0.419395,0.0442462
0.41501,0.040521
0.410858,0.0371483
0.406078,0.0340774
0.396597,0.0287274
0.396852,0.0287274
0.387795,0.0236004
0.383026,0.0214875
0.378151,0.0196853
0.373366,0.0180384
0.369125,0.0162766
0.364308,0.014859
0.359601,0.0134858
0.354738,0.0121101
0.34537,0.00995879
0.340687,0.00900468
0.340709,0.00886169
0.331297,0.00751312
0.326327,0.00648354
0.321313,0.00604465
0.31635,0.00527042
0.311427,0.00460222
0.306793,0.00443556
0.302015,0.00385119
0.297431,0.00350599
0.292823,0.0027293
0.288,0.00276975
0.277893,0.00200786
0.278547,0.00180567
0.273452,0.00166266
0.263594,0.00128395
0.258749,0.0012297
0.258631,0.000973273
0.249117,0.00085592
0.249273,0.000902768
0.238461,0.000900302
0.233308,0.000414563
0.228298,0.000452548
0.228084,0.000489533
0.217653,0.000218308
0.218149,9.749E-5
0.207552,0.00017246
0.20267,0.00018972
0.197632,0.000362318
0.197416,0.000594092
0.187416,0.000217843
0.182672,0.000126613
0.176967,6.25048E-5
0.172163,0.000143872
0.167068,9.25977E-6
0.166833,0.00028295
0.156462,0.000194186
0.151617,7.09018E-5
0.146677,0.000126147
0.141508,-7E-6
0.136714,-1.68627E-5
0.131148,-2.91911E-5
0.125715,-8.98332E-5
0.120846,0.000109887
0.115837,7.53675E-5
0.11035,-0.000126818
0.105434,4.9245E-5
0.10028,0.000221843
0.0950376,-9.37645E-5
0.0901833,0.000179926
0.0851151,0.000143941
0.0799566,0.00019572
0.0745404,5.27107E-5
0.0697696,-8.29018E-5
0.0647732,0.000157269
0.0594541,0.000260828
0.0544757,-0.000234774
0.0490527,4.23823E-5
0.0438917,9.41616E-5
0.0390336,-0.000347195
0.0340345,0.000185392
0.023577,0.000191323
0.0241273,9.02302E-5
0.0186421,-2.81225E-5
0.0136038,-9.22302E-5
0.00836127,-8.62989E-5
0.00302034,7.39705E-5
-0.00671201,-8.62989E-5
-0.00706718,-0.000145475
-0.0122925,-0.00018146
-0.0174811,3.79852E-5
-0.0223864,-3.10539E-5
-0.0279595,-0.000164201
-0.0380828,-0.000111421
-0.037963,3.15882E-5
-0.0430601,7.84361E-5
-0.0480494,0.000157338
-0.0580524,2.02598E-5
-0.0584576,-4.3848E-5
-0.063307,-3.15195E-5
-0.06854,0.000175598
-0.0782911,0.000277691
-0.078312,0.000240705
-0.0877105,3.85195E-5
-0.0877279,0.000124818
-0.0971477,8.39018E-5
-0.101594,1.97941E-5
-0.10626,0.000184995
-0.106494,0.000182529
-0.115197,0.00024024
-0.124685,0.000227911
-0.124597,6.51764E-5
-0.134258,4.39852E-5
-0.133807,-0.00020998
-0.143195,0.000214117
-0.147642,0.000201789
-0.152752,-0.000122681
-0.157428,-0.000179392
-0.162087,0.000126353
-0.166347,6.2245E-5
-0.171217,0.000235843
-0.180269,6.53432E-6
-0.180534,0.00044296
-0.189556,0.00019146
-0.194759,0.000234377
-0.199058,0.00022698
-0.203674,1.24657E-5
NaN,NaN
