#ID:	4
#type:	Stressing
#start_time:	16/04/2025 16.53.28
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
#wait_duration:	1 min
#point_rate:	2 1/s
#point_spacing:	0 linear
#setpoint:	Inf W
##Sample holder climate : temperature:	[35.187,37.027] °C
##Sample holder climate : relative humidity:	[33.845,32.81] %
##IR temperature [0]:	[46.49,48.25] °C
##Stage temperature:	[53.7755,55.5825] °C
##Light intensity:	[100,100] %
#Power:	-0.138007 mW
#Current:	-0.40721 mA
#Voltage:	0.338909 V
#
#time (s),Voltage (V),current (mA),Power (mW),PCE (%)
2.05279,0.476549,0.0604385,0.0288019,0.115208
3.08009,0.446433,-0.107328,-0.047915,0.19166
4.10901,0.412803,-0.240144,-0.0991322,0.396529
5.13084,0.375345,-0.339117,-0.127286,0.509143
6.14421,0.330595,-0.413497,-0.1367,0.5468
7.15725,0.285326,-0.459464,-0.131097,0.524389
8.19622,0.308458,-0.439456,-0.135554,0.542215
9.2248,0.334806,-0.409101,-0.136969,0.547877
10.249,0.367884,-0.358834,-0.132009,0.528037
11.2748,0.351633,-0.38623,-0.135811,0.543245
12.3119,0.334909,-0.410306,-0.137415,0.549661
13.3364,0.308314,-0.440462,-0.135801,0.543202
14.3673,0.32251,-0.426177,-0.137446,0.549785
15.391,0.334766,-0.411017,-0.137595,0.550378
16.4147,0.351765,-0.387771,-0.136404,0.545617
17.432,0.343364,-0.400101,-0.13738,0.549521
18.4553,0.335082,-0.411978,-0.138047,0.552187
19.4605,0.322301,-0.427748,-0.137863,0.551454
20.4647,0.326997,-0.422106,-0.138027,0.552109
21.4896,0.334901,-0.412789,-0.138244,0.552974
22.511,0.343224,-0.401477,-0.137797,0.551186
23.5312,0.339188,-0.407321,-0.138158,0.552632
24.5495,0.335107,-0.412634,-0.138277,0.553106
25.5824,0.326198,-0.422888,-0.137945,0.551781
26.6111,0.330571,-0.417556,-0.138032,0.552128
27.6236,0.335209,-0.413179,-0.138501,0.554006
28.645,0.339419,-0.407404,-0.138281,0.553124
29.6654,0.33477,-0.413122,-0.138301,0.553203
30.6345,0.334942,-0.413194,-0.138396,0.553584
31.6022,0.33909,-0.408092,-0.13838,0.55352
32.5742,0.338974,-0.407769,-0.138223,0.552893
33.5981,0.339346,-0.407735,-0.138363,0.553452
34.6042,0.339356,-0.407609,-0.138325,0.553299
35.619,0.338925,-0.408398,-0.138416,0.553665
36.6383,0.339184,-0.40775,-0.138302,0.553209
37.6496,0.339243,-0.408262,-0.1385,0.554
38.6612,0.339125,-0.407791,-0.138292,0.553168
39.6768,0.339595,-0.408092,-0.138586,0.554345
40.6879,0.33917,-0.408509,-0.138554,0.554217
41.7002,0.339044,-0.407861,-0.138283,0.553131
42.7119,0.338812,-0.408065,-0.138257,0.55303
43.737,0.339163,-0.407774,-0.138302,0.553208
44.7535,0.33958,-0.407668,-0.138436,0.553745
45.7729,0.33906,-0.408265,-0.138426,0.553706
46.7899,0.338954,-0.408442,-0.138443,0.553773
47.812,0.339109,-0.407483,-0.138181,0.552725
48.8295,0.339006,-0.40807,-0.138338,0.553353
49.849,0.339205,-0.407863,-0.138349,0.553396
50.882,0.33889,-0.408077,-0.138293,0.553173
51.9076,0.338721,-0.408248,-0.138282,0.553128
52.9326,0.339146,-0.407915,-0.138343,0.55337
53.9571,0.338849,-0.407666,-0.138137,0.552549
54.9839,0.339128,-0.407449,-0.138177,0.552709
56.0097,0.338807,-0.408139,-0.138281,0.553122
57.0467,0.338729,-0.40787,-0.138158,0.552631
58.0777,0.339073,-0.407962,-0.138329,0.553315
59.0982,0.339212,-0.407898,-0.138364,0.553454
60.1171,0.338983,-0.406983,-0.13796,0.551841
61.1377,0.339205,-0.407178,-0.138117,0.552467
62.1638,0.33854,-0.407471,-0.137945,0.55178
