#ID:	3
#type:	Perform parallel JV
#start_time:	16/04/2025 16.48.02
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
#start_voltage:	-0.2 V
#stop_voltage:	1.4 V
#Scan rate:	10 mV/s
#settling_time:	10 ms
#direction:	3 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample holder climate : temperature:	[21.627,35.187] °C
##Sample holder climate : relative humidity:	[38.428,33.845] %
##IR temperature [0]:	[23.33,46.49] °C
##Stage temperature:	[21.4165,53.7755] °C
##Light intensity:	[100,100] %
#
#voltage (V),current (mA)
1.40038,-0.00101929
1.38118,-0.00105527
1.37613,-0.000899113
1.3714,-0.000663846
1.37167,-0.00097144
1.33752,-0.0010656
1.34229,-0.00084369
1.3282,-0.00105474
1.31857,-0.000874744
1.30843,-0.000930454
1.2989,-0.000955111
1.28926,-0.00101329
1.27976,-0.00103055
1.26962,-0.000877675
1.26009,-0.00100982
1.24578,-0.000818964
1.24082,-0.00102362
1.23156,-0.00113704
1.21644,-0.00100536
1.21211,-0.000901798
1.1977,-0.00112024
1.18805,-0.000825827
1.17775,-0.000793773
1.17323,-0.000934317
1.15849,-0.000750857
1.14918,-0.000964371
1.13917,-0.000712871
1.12988,-0.000878072
1.12051,-0.000960905
1.10608,-0.00095744
1.10134,-0.00111278
1.08674,-0.00077891
1.0827,-0.000660558
1.06788,-0.000745857
1.05796,-0.00100968
1.04843,-0.000826224
1.0393,-0.000974165
1.02922,-0.000751254
1.01965,-0.00091892
1.00547,-0.00101655
1.00058,-0.000710803
0.99159,-0.000723131
0.976464,-0.000687612
0.966936,-0.000878935
0.962219,-0.000886332
0.948032,-0.000727528
0.938388,-0.000702871
0.928976,-0.000921317
0.919702,-0.000359142
0.909703,-0.000970631
0.895262,-0.000794567
0.890331,-0.000555396
0.88097,-0.000675215
0.865687,-0.000770376
0.860743,-0.000824621
0.84578,-0.000860606
0.840753,-0.000872935
0.825879,-0.000696871
0.816263,-0.000923714
0.811273,-0.000945905
0.796642,-0.00079943
0.78666,-0.00101788
0.781891,-0.000995685
0.766724,-0.000647023
0.756459,-0.000511411
0.75167,-0.000684009
0.737077,-0.0010282
0.72704,-0.000768308
0.72229,-0.000807758
0.707137,-0.000912783
0.697443,-0.000722925
0.68752,-0.000761376
0.687596,-0.000689871
0.658082,-0.000822018
0.658081,-0.000499014
0.648335,-0.000823484
0.638118,-0.000618832
0.623424,-0.000726322
0.618475,-0.00048222
0.608691,-0.0006982
0.598648,-0.000459029
0.584109,-0.000911714
0.579011,-0.000837744
0.564258,-0.000693734
0.55903,-0.000844141
0.544663,-0.000926974
0.539985,-0.00103546
0.526363,-0.000541328
0.516524,-0.000731185
0.506783,-0.000816484
0.497397,-0.000703063
0.488261,-0.000960959
0.478868,-0.000867263
0.464613,-0.000587641
0.459952,-0.000703528
0.445784,-0.000613764
0.436074,-0.000774033
0.426836,-0.000775499
0.417465,-0.000819881
0.407406,-0.000513136
0.393315,-0.000587107
0.388722,-0.000741445
0.378903,-0.000346936
0.364875,-0.000927837
0.36036,-0.000797156
0.345909,-0.000788758
0.336862,-0.000806018
0.327133,-0.000763102
0.317582,-0.000652146
0.308082,-0.000826209
0.293769,-0.000596901
0.289057,-0.000583573
0.274407,-0.000911508
0.269782,-0.000657543
0.254384,-0.00041244
0.249758,-0.000518465
0.234526,-0.000512533
0.224351,-0.000489342
0.219033,-0.000738376
0.203746,-0.000596832
0.198867,-0.000554916
0.188354,-0.000381318
0.173192,-0.000539122
0.167891,-0.000686063
0.157716,-0.000634283
0.147966,-0.000850263
0.132212,-0.00054945
0.127233,-0.000435029
0.117133,-0.000666803
0.107001,-0.00063868
0.0966393,-0.000507999
0.0865544,-0.000492205
0.076586,-0.000664803
0.066406,-0.000404906
0.0558293,-0.000646543
0.045865,-0.00036199
0.0356427,-0.000571573
0.0252827,-0.000627283
0.0152015,-0.000479342
0.0102769,-0.000691391
-0.00509737,-0.000678063
-0.0154214,-0.000881714
-0.0252445,-0.000497068
-0.0304956,-0.000462548
-0.0458221,-0.000301279
-0.0558189,-0.000438357
-0.0611668,-0.000349593
-0.0761381,-0.000528587
-0.085378,-0.000375715
-0.0903886,-0.000730773
-0.104076,-0.000638543
-0.113619,-0.00050193
-0.123157,-0.000743567
-0.132408,-0.000493533
-0.146932,-0.000528053
-0.15193,-0.000536916
-0.165792,-0.000347058
-0.17015,-0.000519656
-0.184598,-0.000479205
-0.194299,-0.000510259
-0.203462,-0.000463411
NaN,NaN
-0.198802,-0.000527519
-0.194194,-0.000746964
-0.179619,-0.0004077
-0.170245,-0.000386509
-0.161181,-0.000596092
-0.151694,-0.00062568
-0.137181,-0.000589695
-0.13263,-0.000745033
-0.118481,-0.000669597
-0.113436,-0.000684391
-0.0992004,-0.000653337
-0.0897956,-0.000489136
-0.0804959,-0.00032147
-0.0707064,-0.000654337
-0.0555704,-0.000857523
-0.0505462,-0.000685925
-0.0406984,-0.000525656
-0.0305934,-0.000410769
-0.0201868,-0.000726376
-0.00986159,-0.000498068
0.000268166,-0.000515328
0.0100415,-0.000570573
0.0207981,-0.00077769
0.0309869,-0.000832935
0.0409803,-0.000384181
0.0510731,-0.00056271
0.0609087,-0.000695857
0.0713501,-0.000701788
0.0765222,-0.00072891
0.0913903,-0.000742239
0.101827,-0.000776758
0.111935,-0.000600229
0.116901,-0.0006742
0.132186,-0.000879851
0.142589,-0.000761499
0.1477,-0.000593832
0.162974,-0.000530725
0.167985,-0.000895645
0.183205,-0.000539122
0.188762,-0.000652543
0.203791,-0.000944493
0.20889,-0.000648612
0.218846,-0.000494274
0.234531,-0.000551984
0.23903,-0.000633352
0.249421,-0.000488877
0.26002,-0.000794621
0.269658,-0.000810415
0.283511,-0.000489877
0.288557,-0.000721651
0.298006,-0.000559916
0.312464,-0.000829675
0.321671,-0.000854332
0.326881,-0.000602832
0.341194,-0.000347401
0.350282,-0.000590038
0.364606,-0.000767567
0.369474,-0.000808018
0.378397,-0.000736513
0.393239,-0.00107531
0.397691,-0.000668474
0.41205,-0.000496877
0.421735,-0.000723719
0.430946,-0.000687734
0.440675,-0.000951562
0.450218,-0.000671474
0.45966,-0.000617229
0.468692,-0.000683803
0.478116,-0.000743979
0.492536,-0.000747445
0.501741,-0.000547725
0.506437,-0.000712925
0.520685,-0.000696665
0.530619,-0.00087766
0.540124,-0.000655749
0.549464,-0.000646886
0.563996,-0.000900851
0.569134,-0.000777567
0.578612,-0.00071446
0.593221,-0.000892989
0.598531,-0.000821484
0.613305,-0.00106412
0.618392,-0.000622764
0.632817,-0.000806224
0.642856,-0.00093444
0.647836,-0.000761842
0.662879,-0.000715994
0.667633,-0.000812156
0.682264,-0.000598641
0.686997,-0.000714528
0.696844,-0.000754979
0.711673,-0.000758445
0.716358,-0.000714063
0.726608,-0.000603107
0.736082,-0.000729857
0.74636,-0.000744651
0.756381,-0.000794964
0.766401,-0.000590313
0.771645,-0.000931577
0.786309,-0.000712131
0.796069,-0.000449303
0.800847,-0.000646558
0.815647,-0.000945905
0.820791,-0.00067468
0.83056,-0.000715131
0.845804,-0.000885263
0.850798,-0.000770376
0.860782,-0.000859141
0.870261,-0.000731925
0.88114,-0.00082069
0.890765,-0.000880866
0.899917,-0.000816758
0.904906,-0.000636764
0.919404,-0.000933646
0.928852,-0.0007142
0.934006,-0.00104314
0.948319,-0.00051548
0.957595,-0.000526342
0.962615,-0.000829621
0.977027,-0.000497754
0.98618,-0.000712268
0.991182,-0.000957371
1.0057,-0.000876003
1.01506,-0.00103234
1.01996,-0.000857278
1.03454,-0.000964302
1.0444,-0.00109005
1.04893,-0.00109005
1.06347,-0.00116502
1.06805,-0.000977631
1.08218,-0.000966302
1.09187,-0.00102155
1.09625,-0.00100922
1.11081,-0.000983096
1.1204,-0.000936248
1.13018,-0.000818896
1.13967,-0.00103094
1.14891,-0.00106546
1.16357,-0.000879072
1.16827,-0.00096044
1.18255,-0.00100582
1.18801,-0.000993493
1.20265,-0.00106353
1.2121,-0.000985631
1.2213,-0.000795773
1.23067,-0.000794308
1.24059,-0.00100142
1.25038,-0.00102215
1.25985,-0.000980234
1.27456,-0.000924523
1.27956,-0.00106014
1.2939,-0.00102415
1.29833,-0.000893469
1.31292,-0.000943783
1.3228,-0.00112131
1.33252,-0.00086095
1.34221,-0.000762322
1.35189,-0.000864415
1.36126,-0.000815102
1.37127,-0.000880209
1.38096,-0.000774185
1.39531,-0.000886141
1.40014,-0.000834361
NaN,NaN
