#ID:	4
#type:	Stressing
#start_time:	16/04/2025 17.48.52
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
#wait_duration:	1 min
#point_rate:	2 1/s
#point_spacing:	0 linear
#setpoint:	Inf W
##Sample holder climate : temperature:	[29.964,29.099] °C
##Sample holder climate : relative humidity:	[32.155,32.667] %
##IR temperature [0]:	[31.53,29.85] °C
##Stage temperature:	[30.2538,29.3448] °C
##Light intensity:	[0,0] %
#Power:	-0.000726376 mW
#Current:	0.000484303 mA
#Voltage:	-1.49984 V
#
#time (s),Voltage (V),current (mA),Power (mW),PCE (%)
1.15087,1.33316,-0.000419593,-0.000559385,Inf
1.67603,1.28461,-0.000308103,-0.000395792,Inf
2.18901,1.2361,-0.000177887,-0.000219886,Inf
2.70938,1.25539,-0.000233132,-0.000292672,Inf
3.2313,1.2895,-0.000410195,-0.000528949,Inf
3.75882,1.32359,-0.000376676,-0.000498563,Inf
4.28574,1.30446,-0.00026472,-0.000345317,Inf
4.81664,1.31466,-0.000278049,-0.000365539,Inf
5.34152,1.32412,-0.000285446,-0.000377964,Inf
5.86339,1.33832,0.000211622,0.000283218,Inf
6.39095,1.13978,-7.17941E-5,-8.18294E-5,Inf
6.92545,1.18836,-0.000502823,-0.000597532,Inf
7.44264,1.23662,-0.000249392,-0.000308403,Inf
7.97502,1.2174,-0.000485097,-0.000590556,Inf
8.49738,1.18308,-0.000394333,-0.000466528,Inf
9.02466,1.19771,-0.000296705,-0.000355367,Inf
9.55579,1.19306,-0.000328759,-0.00039223,Inf
10.0928,1.18334,-2.69461E-5,-3.18864E-5,Inf
10.6212,1.18824,-0.000468303,-0.000556457,Inf
11.1508,1.1935,-0.00025972,-0.000309976,Inf
11.6736,1.18806,-5.40686E-5,-6.42365E-5,Inf
12.2051,1.18817,7.57341E-6,8.99851E-6,Inf
12.72,0.994141,-0.000279308,-0.000277672,Inf
13.2561,0.940695,-0.000130833,-0.000123074,Inf
13.7852,0.965005,1.61077E-5,1.5544E-5,Inf
14.3172,0.765286,-0.000294431,-0.000225324,Inf
14.8409,0.716604,7.98871E-5,5.72474E-5,Inf
15.3633,0.517741,-0.000228186,-0.000118141,Inf
15.8944,0.469408,-1.80886E-6,-8.49095E-7,Inf
16.4212,0.493849,-0.000153215,-7.56652E-5,Inf
16.9559,0.521775,-0.000267637,-0.000139646,Inf
17.4849,0.555676,-0.00021046,-0.000116948,Inf
18.0221,0.541577,-0.000280965,-0.000152164,Inf
18.5537,0.5173,-0.000171475,-8.87042E-5,Inf
19.0765,0.527248,-9.01077E-5,-4.75091E-5,Inf
19.6041,0.527587,-0.000376127,-0.00019844,Inf
20.1267,0.532251,-0.000123162,-6.55528E-5,Inf
20.6491,0.527108,-0.000132024,-6.95911E-5,Inf
21.1811,0.522152,-0.000176407,-9.2111E-5,Inf
21.7117,0.517214,4.05734E-5,2.09852E-5,Inf
22.2392,0.320614,-1.20591E-6,-3.86631E-7,Inf
22.7605,0.373679,0.000151132,5.64749E-5,Inf
23.2898,0.168663,0.000228705,3.85742E-5,Inf
23.8281,-0.0342392,0.000167201,-5.72482E-6,Inf
24.3501,-0.238656,0.000164872,-3.93478E-5,Inf
24.8797,-0.430649,3.57941E-5,-1.54147E-5,Inf
25.4113,-0.633495,0.000184872,-0.000117116,Inf
25.9404,-0.8286,7.79852E-5,-6.46185E-5,Inf
26.468,-1.02146,0.000218666,-0.000223359,Inf
26.9906,-1.22055,0.000245926,-0.000300166,Inf
27.5258,-1.41919,0.000290446,-0.000412198,Inf
28.0528,-1.61696,0.000273323,-0.000441954,Inf
28.5853,-1.51562,0.000648038,-0.000982182,Inf
29.1054,-1.46687,0.00058093,-0.000852147,Inf
29.6304,-1.51561,0.000438455,-0.000664528,Inf
30.1537,-1.49096,0.000585396,-0.000872805,Inf
30.6828,-1.51591,0.000411333,-0.000623543,Inf
31.2171,-1.50551,0.000462112,-0.000695712,Inf
31.7488,-1.49612,0.00052622,-0.000787288,Inf
32.2793,-1.50552,0.000439921,-0.000662309,Inf
32.7985,-1.50079,0.000358553,-0.000538112,Inf
33.3293,-1.50069,0.000427593,-0.000641685,Inf
33.8557,-1.49589,0.000479372,-0.000717088,Inf
34.3894,-1.50151,0.000619916,-0.000930808,Inf
34.9048,-1.4961,0.00043499,-0.000650786,Inf
35.4417,-1.50077,0.000407867,-0.000612116,Inf
35.974,-1.5013,0.000398004,-0.000597524,Inf
36.5021,-1.50102,0.000486769,-0.000730649,Inf
37.0365,-1.49594,0.000314171,-0.000469983,Inf
37.5603,-1.50087,0.000407867,-0.000612156,Inf
38.0933,-1.50091,0.000548411,-0.000823113,Inf
38.6234,-1.50047,0.000262392,-0.000393711,Inf
39.157,-1.5009,0.000407867,-0.000612167,Inf
39.6853,-1.49632,0.00027472,-0.00041107,Inf
40.2168,-1.50127,0.000395539,-0.000593812,Inf
40.7491,-1.49622,0.000612519,-0.00091646,Inf
41.271,-1.50123,0.000368416,-0.000553077,Inf
41.7939,-1.50156,0.00036595,-0.000549498,Inf
42.326,-1.50149,0.000449784,-0.000675344,Inf
42.8495,-1.49628,0.000181024,-0.000270862,Inf
43.3798,-1.50105,0.000240201,-0.000360553,Inf
43.9042,-1.50156,0.000380745,-0.000571712,Inf
44.4374,-1.49614,0.000501563,-0.000750408,Inf
44.9592,-1.50173,0.000494166,-0.000742102,Inf
45.4909,-1.50158,0.000489235,-0.000734624,Inf
46.0209,-1.50082,0.000328965,-0.000493719,Inf
46.5508,-1.49651,0.000528685,-0.000791185,Inf
47.0855,-1.50155,0.000444852,-0.000667967,Inf
47.6185,-1.49633,0.000570602,-0.000853807,Inf
48.147,-1.50153,0.000462112,-0.000693874,Inf
48.6823,-1.50135,0.000462112,-0.00069379,Inf
49.2073,-1.50163,0.000669229,-0.00100493,Inf
49.7374,-1.50108,0.000395539,-0.000593733,Inf
50.2637,-1.49638,0.000489235,-0.000732083,Inf
50.7964,-1.50164,0.00040047,-0.00060136,Inf
51.3232,-1.49662,0.000338828,-0.000507096,Inf
51.8583,-1.5014,0.000553342,-0.00083079,Inf
52.391,-1.50118,0.000353622,-0.000530852,Inf
52.9055,-1.49635,0.000582931,-0.000872266,Inf
53.4286,-1.50107,0.000614984,-0.000923132,Inf
53.9531,-1.49617,0.000380745,-0.000569659,Inf
54.4843,-1.50056,0.000321568,-0.000482532,Inf
55.0037,-1.50079,0.000375813,-0.000564016,Inf
55.5342,-1.50128,0.000471975,-0.000708569,Inf
56.0658,-1.49663,0.000289514,-0.000433296,Inf
56.5941,-1.50164,0.000314171,-0.000471772,Inf
57.1262,-1.50151,0.000190887,-0.00028662,Inf
57.6579,-1.49653,0.000496632,-0.000743223,Inf
58.1885,-1.50158,1.08923E-5,-1.63556E-5,Inf
58.7216,-1.49652,0.000324034,-0.000484924,Inf
59.2502,-1.50144,0.000545945,-0.000819704,Inf
59.7779,-1.50157,0.00050896,-0.00076424,Inf
60.2822,-1.50156,0.000385676,-0.000579114,Inf
60.8018,-1.50135,0.000494166,-0.000741914,Inf
61.3322,-1.49661,0.000573068,-0.000857659,Inf
