#ID:	3
#type:	Perform parallel JV
#start_time:	16/04/2025 17.46.09
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
#start_voltage:	-0.2 V
#stop_voltage:	1.4 V
#Scan rate:	10 mV/s
#settling_time:	10 ms
#direction:	1 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample holder climate : temperature:	[32.808,29.964] °C
##Sample holder climate : relative humidity:	[30.803,32.155] %
##IR temperature [0]:	[34.89,31.53] °C
##Stage temperature:	[33.9076,30.2538] °C
##Light intensity:	[0,0] %
#
#voltage (V),current (mA)
1.08127,50.0082
1.08008,50.017
1.07925,50.0255
1.07867,50.0334
1.07826,50.0391
1.07789,50.0423
1.07758,50.043
1.0774,50.0459
1.07721,50.0492
1.07705,50.0501
1.07691,50.0509
1.07676,50.0486
1.07669,50.0548
1.07657,50.0516
1.07647,50.0539
1.07639,50.054
1.07636,50.0523
1.07628,50.0556
1.07622,50.0592
1.07612,50.0575
1.0761,50.0599
1.07599,50.0585
1.07594,50.0606
1.07587,50.059
1.07584,50.0577
1.07579,50.0567
1.07575,50.0601
1.07567,50.0615
1.07567,50.0611
1.07563,50.062
1.07557,50.0575
1.07551,50.0562
1.07551,50.0583
1.07546,50.0588
1.07545,50.0588
1.0754,50.0599
1.07537,50.0602
1.07532,50.0601
1.07532,50.0592
1.07527,50.0581
1.0752,50.06
1.0752,50.0579
1.07521,50.0575
1.07514,50.0591
1.07514,50.0588
1.0751,50.0601
1.07509,50.06
1.07507,50.0582
1.07503,50.0575
1.07503,50.061
1.07497,50.0592
1.07501,50.0626
1.07495,50.0631
1.07495,50.0589
1.0749,50.0576
1.0749,50.0604
1.07489,50.0602
1.07484,50.0602
1.07485,50.0576
1.07481,50.0584
1.07476,50.056
1.0748,50.0582
1.07473,50.0567
1.07474,50.0572
1.07458,50.0121
1.07422,49.9218
1.0737,49.7847
1.073,49.599
1.07211,49.3696
1.07126,49.1498
1.0701,48.834
1.06891,48.5169
1.06736,48.1141
1.06586,47.7113
1.06431,47.3095
1.06241,46.8158
1.06052,46.3185
1.05859,45.8262
1.05632,45.2475
1.05027,43.717
1.04442,42.2501
1.03828,40.729
1.03199,39.2083
1.0256,37.6891
1.01952,36.2682
1.01309,34.8024
1.00651,33.3207
0.999828,31.8844
0.993284,30.4911
0.986514,29.0997
0.979325,27.6646
0.972349,26.3142
0.965225,24.9745
0.957872,23.6474
0.950188,22.304
0.942416,21.0099
0.934766,19.7794
0.926789,18.5605
0.91851,17.3549
0.909693,16.1286
0.900686,14.9527
0.891964,13.8754
0.883084,12.8494
0.873604,11.8157
0.863859,10.8352
0.859092,10.3665
0.85842,10.2798
0.857734,10.1937
0.856958,10.1068
0.855236,9.93626
0.852903,9.72107
0.850573,9.50884
0.847701,9.25855
0.844833,9.0103
0.841793,8.76029
0.837623,8.42933
0.833902,8.14173
0.830039,7.85648
0.825546,7.53076
0.820847,7.20613
0.815862,6.87829
0.810536,6.54419
0.805049,6.21559
0.799287,5.88924
0.793253,5.56527
0.786915,5.24278
0.780121,4.92344
0.774059,4.64694
0.767588,4.37156
0.761955,4.1454
0.755053,3.886
0.748875,3.6653
0.742433,3.44773
0.735595,3.23353
0.729694,3.05546
0.722233,2.84854
0.717165,2.71154
0.710598,2.54436
0.703622,2.37821
0.69783,2.2492
0.691815,2.12068
0.685444,1.99267
0.678872,1.86542
0.673791,1.77056
