#ID:	1
#type:	Perform parallel JV
#start_time:	16/04/2025 16.42.39
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
#start_voltage:	-0.2 V
#stop_voltage:	1.4 V
#Scan rate:	10 mV/s
#settling_time:	10 ms
#direction:	3 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample holder climate : temperature:	[21.486,21.627] °C
##Sample holder climate : relative humidity:	[38.921,38.428] %
##IR temperature [0]:	[21.33,23.33] °C
##Stage temperature:	[21.3819,21.4165] °C
##Light intensity:	[0,0] %
#
#voltage (V),current (mA)
1.39687,-0.000341225
1.39685,-0.000291911
1.39175,-0.000152189
1.38231,-0.000392621
1.38234,-0.000130642
1.37181,-0.000364882
1.36716,-0.000287446
1.36712,-0.000363882
1.35738,-0.000117314
1.35258,-0.000534014
1.34741,-0.000397401
1.34737,-0.000579862
1.33765,-0.000394936
1.33296,-0.000200147
1.32822,-0.000618313
1.32354,-0.000243529
1.31817,-0.000485166
1.3084,-0.000503891
1.30877,-0.000254858
1.30359,-0.000417593
1.29376,-0.000146368
1.29399,-0.000328828
1.28856,-0.000554671
1.27903,-0.000507823
1.27886,-0.000433852
1.2695,-0.00024646
1.26957,-0.000345088
1.25957,-0.0003145
1.25465,-0.000519151
1.24995,7.01468E-5
1.24977,-0.000255323
1.24028,-0.000688283
1.2356,-0.000439249
1.23075,-0.000123642
1.2261,-0.000280446
1.21594,1.05048E-5
1.21654,-0.000162093
1.21154,-0.000482632
1.20182,-0.000331225
1.20187,-0.00036821
1.19224,-0.000526014
1.18773,-0.000369676
1.18263,-0.00038447
1.18302,-0.000283377
1.17334,-0.000352416
1.16858,-0.000225666
1.16382,-0.000168956
1.15407,-0.000173887
1.15411,-0.000563465
1.14466,-0.000251789
1.14442,-0.000481097
1.13501,-0.000343019
1.13479,8.35439E-5
1.12472,-0.000329691
1.12027,-0.000334622
1.11523,-0.000275446
1.11057,-0.000191613
