#ID:	4
#type:	Stressing
#start_time:	16/04/2025 17.48.52
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
#wait_duration:	1 min
#point_rate:	2 1/s
#point_spacing:	0 linear
#setpoint:	Inf W
##Sample holder climate : temperature:	[29.964,29.099] °C
##Sample holder climate : relative humidity:	[32.155,32.667] %
##IR temperature [0]:	[31.53,29.85] °C
##Stage temperature:	[30.2538,29.3448] °C
##Light intensity:	[0,0] %
#Power:	-0.000683107 mW
#Current:	0.000455537 mA
#Voltage:	-1.49956 V
#
#time (s),Voltage (V),current (mA),Power (mW),PCE (%)
1.15087,0.225003,0.000178858,4.02434E-5,Inf
1.67603,0.174772,1.81225E-5,3.16731E-6,Inf
2.18901,-0.030403,8.39705E-6,-2.55296E-7,Inf
2.70938,-0.227669,1.13727E-6,-2.58921E-7,Inf
3.2313,-0.427209,0.000144284,-6.16394E-5,Inf
3.75882,-0.628828,0.0004477,-0.000281526,Inf
4.28574,-0.82528,0.000309759,-0.000255638,Inf
4.81664,-1.0251,0.00023346,-0.000239321,Inf
5.34152,-1.2297,0.000347019,-0.00042673,Inf
5.86339,-1.42962,0.000398936,-0.000570326,Inf
6.39095,-1.62908,0.0004977,-0.000810792,Inf
6.92545,-1.52674,0.000532151,-0.000812455,Inf
7.44264,-1.47866,0.000515357,-0.00076204,Inf
7.97502,-1.5269,0.00052722,-0.000805013,Inf
8.49738,-1.5028,0.00041773,-0.000627766,Inf
9.02466,-1.49288,0.000356088,-0.000531596,Inf
9.55579,-1.50277,0.000582931,-0.000876008,Inf
10.0928,-1.49818,0.000513891,-0.000769901,Inf
10.6212,-1.50281,0.000467043,-0.000701877,Inf
11.1508,-1.50276,0.00041773,-0.00062775,Inf
11.6736,-1.4978,0.00063471,-0.000950666,Inf
12.2051,-1.50269,0.000560739,-0.000842619,Inf
12.72,-1.49784,0.00040047,-0.000599839,Inf
13.2561,-1.50306,0.000582931,-0.000876177,Inf
13.7852,-1.50268,-8.83319E-6,1.32735E-5,Inf
14.3172,-1.29813,0.000301705,-0.000391651,Inf
14.8409,-1.49798,0.000425127,-0.000636832,Inf
15.3633,-1.5025,0.00036595,-0.00054984,Inf
15.8944,-1.50265,0.0004917,-0.000738852,Inf
16.4212,-1.50289,0.000304308,-0.000457342,Inf
16.9559,-1.50276,0.000511426,-0.00076855,Inf
17.4849,-1.49797,0.000237735,-0.00035612,Inf
18.0221,-1.50298,0.00016623,-0.000249841,Inf
18.5537,-1.49829,2.8152E-5,-4.21799E-5,Inf
19.0765,-1.50273,0.000171162,-0.00025721,Inf
19.6041,-1.4979,0.000353622,-0.000529691,Inf
20.1267,-1.50274,0.000126779,-0.000190516,Inf
20.6491,-1.49818,0.00016623,-0.000249042,Inf
21.1811,-1.5031,0.000467043,-0.000702014,Inf
21.7117,-1.50297,0.000573068,-0.000861301,Inf
22.2392,-1.50292,0.00043499,-0.000653756,Inf
22.7605,-1.50296,0.000430058,-0.000646362,Inf
23.2898,-1.50294,0.000287049,-0.000431415,Inf
23.8281,-1.49778,0.000659367,-0.000987589,Inf
24.3501,-1.50263,0.000499097,-0.000749958,Inf
24.8797,-1.50268,0.000484303,-0.000727754,Inf
25.4113,-1.49813,0.000314171,-0.000470669,Inf
25.9404,-1.50298,0.00069142,-0.00103919,Inf
26.468,-1.49784,0.000304308,-0.000455804,Inf
26.9906,-1.50279,0.000296911,-0.000446194,Inf
27.5258,-1.50267,0.000393073,-0.000590657,Inf
