#ID:	4
#type:	Stressing
#start_time:	16/04/2025 17.48.52
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
#wait_duration:	1 min
#point_rate:	2 1/s
#point_spacing:	0 linear
#setpoint:	Inf W
##Sample holder climate : temperature:	[29.964,29.099] °C
##Sample holder climate : relative humidity:	[32.155,32.667] %
##IR temperature [0]:	[31.53,29.85] °C
##Stage temperature:	[30.2538,29.3448] °C
##Light intensity:	[0,0] %
#Power:	-0.000547114 mW
#Current:	0.000365129 mA
#Voltage:	-1.49841 V
#
#time (s),Voltage (V),current (mA),Power (mW),PCE (%)
1.15087,1.45243,-0.000314637,-0.000456987,Inf
1.67603,1.39867,-0.000277117,-0.000387597,Inf
2.18901,1.35051,-0.000344156,-0.000464785,Inf
2.70938,1.30188,-0.000185818,-0.000241914,Inf
3.2313,1.32618,-0.000423524,-0.000561668,Inf
3.75882,1.35491,-0.000366348,-0.000496369,Inf
4.28574,1.34056,-0.000550274,-0.000737673,Inf
4.81664,1.32115,-0.000154765,-0.000204468,Inf
5.34152,1.33096,-0.000150833,-0.000200753,Inf
5.86339,1.33087,-0.000441784,-0.000587956,Inf
6.39095,1.32155,-0.000315034,-0.000416334,Inf
6.92545,1.32608,-0.000435852,-0.000577977,Inf
7.44264,1.33093,-0.000340691,-0.000453436,Inf
7.97502,1.33091,-0.000540411,-0.00071924,Inf
8.49738,1.33114,-0.00026672,-0.000355042,Inf
9.02466,1.33082,-0.000353019,-0.000469804,Inf
9.55579,1.33096,-3.98775E-5,-5.30755E-5,Inf
10.0928,1.3311,-0.000244529,-0.000325492,Inf
10.6212,1.33123,-0.000155765,-0.000207359,Inf
11.1508,1.33107,-0.000291377,-0.000387843,Inf
11.6736,1.33107,-8.67255E-5,-0.000115438,Inf
12.2051,1.33079,-3.74118E-5,-4.97874E-5,Inf
12.72,1.3309,-0.000333294,-0.000443582,Inf
13.2561,1.3309,-0.000422058,-0.000561719,Inf
13.7852,1.33085,-0.000323431,-0.000430438,Inf
14.3172,1.33075,-0.000557671,-0.00074212,Inf
14.8409,1.33107,-0.000320965,-0.000427228,Inf
15.3633,1.33092,-0.000170559,-0.000227,Inf
15.8944,1.33078,-0.000229735,-0.000305727,Inf
16.4212,1.33076,-0.000404798,-0.000538691,Inf
16.9559,1.33103,-3.74118E-5,-4.97964E-5,Inf
17.4849,1.33069,-0.000335759,-0.00044679,Inf
18.0221,1.33088,-0.000419593,-0.000558425,Inf
18.5537,1.33052,-0.000348088,-0.000463139,Inf
19.0765,1.331,-0.000365348,-0.000486277,Inf
19.6041,1.33069,-0.000454112,-0.000604283,Inf
20.1267,1.33088,-0.00024946,-0.000332001,Inf
20.6491,1.33089,-0.000468906,-0.000624063,Inf
21.1811,1.33048,-0.000229735,-0.000305658,Inf
21.7117,1.33072,-0.000394936,-0.000525548,Inf
22.2392,1.33094,-0.000323431,-0.000430467,Inf
22.7605,1.33082,-8.17941E-5,-0.000108853,Inf
23.2898,1.33064,-0.000237132,-0.000315538,Inf
23.8281,1.33057,-0.000123711,-0.000164605,Inf
24.3501,1.33083,-0.000382607,-0.000509187,Inf
24.8797,1.33073,-0.000187818,-0.000249936,Inf
25.4113,1.33077,-0.000345622,-0.000459944,Inf
25.9404,1.33083,-0.000214941,-0.00028605,Inf
26.468,1.33089,-0.000182887,-0.000243403,Inf
26.9906,1.33084,-0.000288911,-0.000384496,Inf
27.5258,1.3309,-0.000377676,-0.00050265,Inf
28.0528,1.33085,-0.000478769,-0.000637169,Inf
28.5853,1.33093,-0.000394936,-0.00052563,Inf
29.1054,1.33094,-0.00040973,-0.000545325,Inf
29.6304,1.33095,-0.000259323,-0.000345145,Inf
30.1537,1.33093,-3.74118E-5,-4.97927E-5,Inf
30.6828,1.33089,-0.000274117,-0.000364819,Inf
31.2171,1.33067,-0.000296308,-0.000394287,Inf
31.7488,1.33086,-0.000108917,-0.000144953,Inf
32.2793,1.33097,-0.000306171,-0.000407506,Inf
32.7985,1.33117,-0.000239598,-0.000318946,Inf
33.3293,1.33125,-0.00039247,-0.000522476,Inf
33.8557,1.3311,-0.000353019,-0.000469905,Inf
34.3894,1.33099,-0.000261789,-0.000348439,Inf
34.9048,1.331,-0.000237132,-0.000315623,Inf
35.4417,1.3308,-0.000128642,-0.000171197,Inf
35.974,1.33088,4.64214E-5,6.17814E-5,Inf
36.5021,1.13039,-0.000236995,-0.000267897,Inf
37.0365,1.08282,-0.00019701,-0.000213327,Inf
37.5603,1.11133,-5.6E-5,-6.22348E-5,Inf
38.0933,1.09695,-0.00019801,-0.000217206,Inf
38.6234,1.08296,-0.000261117,-0.00028278,Inf
39.157,1.06405,-0.000163956,-0.000174456,Inf
39.6853,1.07322,-0.000211804,-0.000227311,Inf
40.2168,1.08253,-0.000226598,-0.000245298,Inf
40.7491,1.09717,6.33527E-5,6.95085E-5,Inf
41.271,0.900687,-0.000207735,-0.000187104,Inf
41.7939,0.851871,-0.000245186,-0.000208867,Inf
42.326,0.797908,-0.000380264,-0.000303416,Inf
42.8495,0.749375,-0.000351142,-0.000263137,Inf
43.3798,0.77379,-0.000354607,-0.000274392,Inf
43.9042,0.803281,-0.00016575,-0.000133144,Inf
44.4374,0.788671,-0.000228858,-0.000180493,Inf
44.9592,0.773906,-7.59852E-5,-5.88054E-5,Inf
45.4909,0.778896,-0.000154887,-0.000120641,Inf
46.0209,0.793495,-9.4245E-5,-7.4783E-5,Inf
