#ID:	1
#type:	Perform parallel JV
#start_time:	16/04/2025 17.43.26
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
#start_voltage:	-0.2 V
#stop_voltage:	1.4 V
#Scan rate:	10 mV/s
#settling_time:	10 ms
#direction:	1 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample holder climate : temperature:	[36.56,32.808] °C
##Sample holder climate : relative humidity:	[29.725,30.803] %
##IR temperature [0]:	[41.29,34.89] °C
##Stage temperature:	[43.1405,33.9076] °C
##Light intensity:	[0,0] %
#
#voltage (V),current (mA)
1.40291,-0.000267255
1.39286,-0.000501494
1.3885,0.000111817
1.38321,-0.000167627
1.37832,-0.000187353
1.37815,-0.00014297
1.36854,-0.000169093
1.3641,-0.000529083
1.35909,-0.000198681
1.35422,-0.000452646
1.34949,-0.000292377
1.34003,-0.00015823
1.34004,-0.000338225
1.33026,-7.19314E-5
1.33046,-0.000316034
1.32075,-0.000319965
1.32067,-0.000312568
1.31115,-0.000571465
1.30633,-0.000306637
1.30172,-0.000392936
1.2966,-0.000323897
1.29183,-0.000166093
1.28684,-0.000313034
1.28219,-0.0004807
1.27692,-0.000177421
1.27218,-0.000337691
1.26283,-9.50539E-5
1.26294,-0.00035395
1.25325,-0.000459975
1.25312,-0.000260255
1.24354,-0.000375142
1.23898,-0.000251858
1.23413,-0.000264186
1.23426,-0.000710474
1.22491,-0.000174421
1.21549,-0.000305103
1.21572,-0.000384004
1.21088,-0.000425921
1.20596,-0.000106848
1.19642,-0.000338622
1.19658,-0.000215338
1.18715,-0.00018475
1.18223,-0.000576793
1.17733,-0.000690215
1.17755,-0.000391867
1.16782,-0.000378539
1.16342,-0.000326759
1.15839,-0.00058319
1.14884,-0.000217269
1.14907,-0.000357813
1.14408,-0.000569862
1.13952,-0.00063397
1.12983,-0.000234529
1.12968,-0.000259186
1.12044,-0.000282843
1.11523,-0.000226132
1.11071,-0.000351882
1.11066,5.64205E-6
1.10129,-0.000190613
1.09201,-0.000165956
1.09168,-0.000136368
1.08666,-0.000155093
1.08195,-0.00025372
1.07253,-0.000194544
1.07277,-0.000152627
1.06329,-0.000292171
1.06328,-0.000299568
1.05405,-0.000605313
1.0491,-0.000172818
1.04428,-4.95343E-5
1.03983,-4.21373E-5
1.03479,-0.000296103
1.03054,-5.2E-5
1.02574,-0.000216201
1.01574,-9.53823E-5
1.0161,-0.000337019
1.00681,-3.52059E-5
1.00658,-0.000414921
0.997013,-0.000506151
0.992421,-0.000294103
0.987629,-0.00012297
0.983329,0.000165514
0.978662,-0.000263514
0.973601,-0.000312828
0.963787,-0.000336485
0.963758,-0.000124436
0.958866,-0.000176215
0.949048,-0.000111108
0.949001,-0.000170284
0.939162,-0.000217132
0.939168,-0.000130833
0.929406,-0.000234392
0.929476,-0.000259049
0.919998,-0.000361607
0.915066,-0.000223529
0.910078,-0.000386264
0.91017,-0.000361607
0.900379,6.77932E-6
0.895592,-0.000212666
0.890702,-0.00017075
0.88108,-0.000312759
0.881031,-8.09852E-5
0.876629,-0.000179613
0.871502,-0.000125368
0.861473,-0.000203269
0.861614,-6.76568E-5
0.851969,-0.000149024
0.852044,-0.000390661
0.842681,-0.000397058
0.837392,-7.40539E-5
0.8374,-0.000397058
0.827808,-6.56568E-5
0.822545,-0.000290034
0.817765,-0.00038373
0.812995,-0.000277705
0.807913,-0.00018301
0.80297,-0.000444372
0.798563,-0.000427112
0.793528,-0.000279171
0.78338,-0.000216529
0.783511,-0.000110505
0.778721,-0.000334882
0.7689,-0.000116902
0.76897,-0.00027224
0.759194,4.33675E-5
0.759091,3.59705E-5
0.749387,-0.000314156
0.74453,-0.000135627
0.744551,-0.000352607
0.734682,-0.000157818
0.729935,-0.000199735
0.725016,-0.000228323
0.720067,-0.000240652
0.715776,3.05734E-5
0.710979,-0.000124765
0.700557,-0.000136093
0.701005,-3.74657E-5
0.6959,5.37646E-5
0.685741,-8.33136E-5
0.686012,3.50391E-5
0.676338,-0.00021646
0.676485,2.27107E-5
0.666653,-1.08089E-5
0.666601,-0.000188338
0.656641,-6.99852E-5
0.652254,-0.000208063
0.64751,-0.000165147
0.647384,-0.000207063
0.637743,-0.000177475
0.628386,-7.53823E-5
0.628289,-3.1E-5
0.623604,-0.000149353
0.61882,-8.77107E-5
0.609422,-0.000284965
0.60935,-0.000371264
0.599989,-0.000249446
0.600016,-0.000219858
0.59056,-0.000136024
0.585542,-4.87255E-5
0.581116,-0.00024598
0.576088,-0.000213926
0.571593,6.71616E-5
0.566864,0.000164323
0.557358,7.3093E-5
0.557156,-9.70391E-5
0.552577,-0.000156215
0.542961,-6.64509E-5
0.542957,-0.00013549
0.533348,-6.64509E-5
0.528723,-0.000132024
0.523969,0.000104681
0.523701,-2.10686E-5
0.51419,1.59166E-5
0.504598,-0.000244446
0.504881,7.11616E-5
0.500218,-0.000306088
0.495455,-0.000101436
0.490896,-4.47255E-5
0.480918,0.000205308
0.480834,-0.000179338
0.471376,8.20243E-5
0.466843,-1.31373E-5
0.466833,6.58818E-6
0.457516,-7.97107E-5
0.452808,0.000100284
0.448102,1.00539E-5
0.443332,4.95048E-5
0.438333,6.42989E-5
0.429166,-0.000141818
0.428958,0.000112147
0.419497,-0.000151681
0.419503,6.03675E-5
0.410308,5.54361E-5
0.409713,-2.34657E-5
0.400522,5.15048E-5
0.395743,-7.91764E-5
0.390963,-0.000126024
0.386357,-9.05048E-5
0.381635,1.79852E-5
0.376708,0.000168392
0.372222,0.000225103
0.362941,0.000208843
0.362898,-3.27941E-5
0.351829,-0.000197995
0.352115,-0.000131421
0.342117,-0.000201926
0.342026,0.000103818
0.331791,1.01225E-5
0.33194,0.000180255
0.321698,0.000122078
0.321498,-0.000146681
0.311546,4.81077E-5
0.311137,-0.000122024
0.300937,-0.000108696
0.301008,-0.000180201
0.291164,0.000317867
0.291029,-9.63675E-5
0.28068,-5.34509E-5
0.275625,-1.4E-5
0.275679,0.000106818
0.265721,-0.000249705
0.261023,-3.76568E-5
0.260698,4.1245E-5
0.250623,0.000149735
0.245348,-0.000115559
0.239966,0.000108818
0.240382,0.000103887
0.229709,3.97793E-5
0.225028,-1.13727E-6
0.219939,0.000183789
0.220114,-2.57941E-5
0.20975,0.000154201
0.204566,6.89018E-5
0.199396,0.000147804
0.194437,-6.67107E-5
0.189179,-6.53432E-6
0.18923,5.26421E-5
0.179118,0.00020798
0.173813,0.000178392
0.168894,-0.000146078
0.163901,1.41911E-5
0.158424,-0.000239774
0.153341,-9.18332E-5
0.148266,0.000116284
0.14345,0.000150804
0.13804,0.000140941
0.13328,3.9848E-5
0.127668,-8.24361E-5
0.12301,0.000127147
0.117768,-0.000126818
0.10777,-3.21225E-5
0.107412,-0.000184995
0.107358,-0.000246637
0.0927846,9.79409E-6
0.0926778,0.000174995
0.0874228,8.47646E-5
0.0823387,-0.000134681
0.0771424,-5.0848E-5
0.0667799,0.000233705
0.0667358,8.57646E-5
0.0620264,-5.34318E-7
0.0569406,0.000100559
0.0516481,-0.000106559
0.0465568,-2.41911E-5
0.036491,3.25195E-5
0.0364361,1.52598E-5
0.0313549,-0.000147475
0.0218077,-0.000254965
0.0214361,5.3245E-5
0.0172291,4.5848E-5
0.00739911,8.87646E-5
0.00725246,-8.13675E-5
-0.00230118,-0.000197255
-0.00741737,6.1642E-5
-0.012215,-0.000132147
-0.0122606,-0.000119818
-0.0219267,-0.000139544
-0.0267906,-4.5848E-5
-0.031237,8.82989E-5
-0.0362045,8.58332E-5
-0.0409208,-7.19705E-5
-0.0511776,3.25882E-5
-0.0509338,-9.8093E-5
-0.0559167,-2.16568E-5
-0.0654592,0.000148475
-0.0653709,-4.39705E-6
-0.0704225,-4.39705E-6
-0.0802305,0.00032947
-0.0850102,-0.000222843
-0.0850671,2.12598E-5
-0.094499,-9.36273E-5
-0.0995265,0.000202255
-0.104823,0.000125818
-0.109406,-7.14361E-5
-0.109272,-0.000140475
-0.11921,-3.09852E-5
-0.129012,6E-6
-0.128894,0.0002575
-0.133834,1.93284E-5
-0.138505,0.000302882
-0.143432,4.64509E-5
-0.147918,0.000100696
-0.15799,-0.000204049
-0.15811,-0.000216377
-0.167535,0.000118956
-0.172644,1.88627E-5
-0.172348,6.57107E-5
-0.182515,-4.27793E-5
-0.187072,-7.48332E-5
-0.1872,1.60295E-6
-0.196431,0.000106162
-0.201713,-0.000285882
NaN,NaN
