#ID:	3
#type:	Perform parallel JV
#start_time:	16/04/2025 17.46.09
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
#start_voltage:	-0.2 V
#stop_voltage:	1.4 V
#Scan rate:	10 mV/s
#settling_time:	10 ms
#direction:	1 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample holder climate : temperature:	[32.808,29.964] °C
##Sample holder climate : relative humidity:	[30.803,32.155] %
##IR temperature [0]:	[34.89,31.53] °C
##Stage temperature:	[33.9076,30.2538] °C
##Light intensity:	[0,0] %
#
#voltage (V),current (mA)
1.07483,50.1162
1.07344,50.0782
1.07246,50.0425
1.07185,50.0471
1.07137,50.0541
1.07099,50.0571
1.07068,50.0588
1.07048,50.0614
1.07025,50.0625
1.07011,50.0628
1.06998,50.0629
1.06985,50.0674
1.06974,50.0677
1.06964,50.0667
1.06954,50.0702
1.06946,50.0702
1.06944,50.0709
1.06932,50.0685
1.06927,50.0723
1.0692,50.0722
1.06917,50.0691
1.06909,50.0707
1.06902,50.0694
1.06897,50.0697
1.06894,50.0696
1.06888,50.0687
1.06885,50.0695
1.06879,50.0695
1.06871,50.069
1.06869,50.068
1.06862,50.069
1.06858,50.0665
1.06857,50.0692
1.06852,50.0671
1.06854,50.0699
1.06846,50.0725
1.06841,50.0686
1.06837,50.0707
1.06838,50.0732
1.06833,50.0694
1.06827,50.0709
1.06824,50.0682
1.06822,50.0699
1.06819,50.0668
1.06816,50.0708
1.06813,50.0709
1.06809,50.0694
1.06807,50.071
1.06805,50.0717
1.06802,50.0688
1.06797,50.0711
1.06799,50.0716
1.06794,50.0699
1.06791,50.0709
1.0679,50.0669
1.06791,50.07
1.06782,50.0672
1.06782,50.0707
1.06778,50.0672
1.06773,50.0714
1.06773,50.0721
1.0677,50.0681
1.0677,50.0698
1.06767,50.0687
1.06764,50.0707
1.06761,50.0692
1.06731,49.9789
1.06695,49.8884
1.06624,49.7068
1.06556,49.5192
1.06455,49.2467
1.06356,48.9832
1.06246,48.6728
1.06113,48.3246
1.05968,47.9293
1.05816,47.531
1.05636,47.0477
1.0547,46.6103
1.05264,46.053
1.04684,44.5446
1.04113,43.0634
1.0355,41.6329
1.02976,40.1863
1.02346,38.6317
1.01737,37.1637
1.01143,35.7459
1.0051,34.2903
0.998559,32.7994
0.992151,31.3911
0.985786,30.0266
0.978849,28.587
0.972063,27.2141
0.965131,25.862
0.958254,24.5598
0.951072,23.244
0.943606,21.952
0.936225,20.7031
0.928496,19.4606
0.921071,18.3107
0.912701,17.0996
0.903772,15.8619
0.89478,14.687
0.886087,13.6238
0.877275,12.6081
0.867857,11.5985
0.858178,10.6285
0.853214,10.1467
0.853479,10.1445
0.852702,10.0524
0.85094,9.87837
0.849621,9.74534
0.847238,9.52841
0.84481,9.3166
0.842328,9.10288
0.83949,8.85564
0.835883,8.56546
0.832232,8.28271
0.828376,7.99211
0.823977,7.67031
0.819943,7.38663
0.815107,7.06322
0.810081,6.73648
0.804687,6.40472
0.799056,6.07985
0.793192,5.756
0.787036,5.43322
0.781304,5.15282
0.775347,4.87519
0.768345,4.5663
0.761726,4.29611
0.755965,4.06619
0.748971,3.81046
0.74274,3.59565
0.736278,3.38207
0.730655,3.2077
0.724677,3.03362
0.717301,2.82857
0.71079,2.65965
0.705552,2.52787
0.698686,2.36859
0.69282,2.23776
0.686681,2.11081
0.680229,1.98184
0.673599,1.85463
0.668396,1.76041
0.663311,1.66878
0.655887,1.54866
0.652146,1.48902
0.6443,1.3731
0.64009,1.31414
0.634253,1.23039
0.627883,1.14949
0.623568,1.09608
0.616887,1.01543
0.612308,0.962544
0.605403,0.886936
0.600309,0.836445
0.595615,0.789074
0.590542,0.74286
0.585334,0.69537
0.580115,0.650431
0.57473,0.606509
0.569462,0.565256
0.563606,0.523537
0.557679,0.482039
0.551954,0.44474
0.545924,0.408356
0.542795,0.389538
0.536056,0.352941
0.529932,0.322787
0.52665,0.306058
0.520412,0.277511
0.513449,0.249583
0.510075,0.236001
0.50656,0.222629
0.499847,0.198468
0.492385,0.177421
0.488953,0.166875
0.485136,0.156062
0.47722,0.137305
0.473519,0.127959
0.465733,0.111767
0.461851,0.104486
0.4578,0.096787
0.453829,0.0901378
0.445564,0.0774518
0.441286,0.0716038
0.43703,0.0666631
0.42866,0.056662
0.42884,0.0571871
0.420407,0.0482771
0.411188,0.0408168
0.411083,0.0406122
0.406871,0.0373564
0.397908,0.0312175
0.393453,0.0286535
0.393668,0.0285302
0.384556,0.0239283
0.375416,0.0198825
0.375425,0.0201217
0.366138,0.0162397
0.366262,0.0166958
0.356772,0.0134981
0.351934,0.0121594
0.347442,0.0109819
0.343001,0.00970732
0.338046,0.0089603
0.333854,0.00801852
0.328887,0.00737112
0.319713,0.00605697
0.319343,0.00603478
0.310264,0.00463921
0.30536,0.00421364
0.300492,0.00393749
0.300364,0.00357996
0.29107,0.00276629
0.286647,0.00243689
0.281999,0.0022421
0.277347,0.00195361
0.272121,0.00158869
0.262062,0.00114834
0.261638,0.00115573
0.256869,0.00109656
0.252064,0.000633009
0.24233,0.000545244
0.241725,0.000431823
