#ID:	1
#type:	Perform parallel JV
#start_time:	16/04/2025 16.42.39
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
#start_voltage:	-0.2 V
#stop_voltage:	1.4 V
#Scan rate:	10 mV/s
#settling_time:	10 ms
#direction:	3 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample holder climate : temperature:	[21.486,21.627] °C
##Sample holder climate : relative humidity:	[38.921,38.428] %
##IR temperature [0]:	[21.33,23.33] °C
##Stage temperature:	[21.3819,21.4165] °C
##Light intensity:	[0,0] %
#
#voltage (V),current (mA)
1.09484,49.9768
1.09406,50.0779
1.09325,50.0885
1.0927,50.0944
1.09223,50.0991
1.09186,50.1032
1.09154,50.1071
1.09131,50.1097
1.09108,50.1072
1.09095,50.1084
1.09076,50.1118
1.09065,50.1151
1.09054,50.1079
1.09045,50.1146
1.09035,50.1123
1.09023,50.1123
1.09012,50.112
1.09005,50.1147
1.08999,50.1119
1.08989,50.1158
1.08981,50.1127
1.08974,50.1139
1.08967,50.1121
1.08964,50.1192
1.08953,50.1171
1.08953,50.1202
1.08949,50.1162
1.0894,50.1146
1.08937,50.1137
1.08935,50.1177
1.08931,50.1154
1.08928,50.1118
1.08926,50.1132
1.08929,50.1115
1.08928,50.1105
1.08923,50.109
1.08919,50.1128
1.0891,50.1093
1.08911,50.1131
1.08904,50.1081
1.08899,50.112
1.08896,50.1092
1.08889,50.1111
1.08886,50.1129
1.08879,50.1128
1.08874,50.1141
1.08871,50.1125
1.08866,50.1142
1.0886,50.1162
1.08858,50.1145
1.08853,50.1153
1.08851,50.1148
1.08841,50.1163
1.08836,50.1137
1.08835,50.1164
1.08833,50.1155
1.08828,50.1123
1.08823,50.1142
1.08817,50.1106
1.08817,50.1143
1.08812,50.1135
1.08796,50.0672
1.08774,50.0225
1.08722,49.8962
1.08652,49.7156
1.08587,49.5392
1.08486,49.2764
1.08386,49.0093
1.08271,48.7026
1.08138,48.3485
1.07991,47.9522
1.07836,47.5565
1.07661,47.1061
1.07454,46.5503
1.06877,45.0591
1.06312,43.6023
1.05748,42.1651
1.05157,40.6922
1.04539,39.1804
1.03932,37.7233
1.03353,36.3546
1.0273,34.9117
1.02104,33.4866
1.01463,32.0847
1.00813,30.6897
1.00167,29.3326
0.994793,27.9382
0.987832,26.5641
0.981038,25.27
0.974069,23.9773
0.966516,22.6382
0.95899,21.354
0.95139,20.0969
0.943737,18.8937
0.935506,17.667
0.926997,16.4497
0.9184,15.2837
0.909739,14.1787
0.900971,13.1273
0.892099,12.1275
0.884033,11.2717
0.878673,10.718
0.873408,10.206
0.868486,9.74411
0.86817,9.69937
0.867338,9.60934
0.866088,9.48638
0.864264,9.3228
0.862449,9.16002
0.860079,8.95199
0.857161,8.7044
0.854135,8.45703
0.850523,8.17291
0.84737,7.92573
0.842942,7.59975
0.838989,7.31641
0.834182,6.99137
0.829123,6.65816
0.82451,6.36825
0.818929,6.03792
0.813123,5.7115
0.807066,5.38256
0.801534,5.104
0.795661,4.82047
0.788774,4.51144
0.782412,4.24251
0.776826,4.02009
0.770081,3.7647
0.763948,3.54888
0.757467,3.33068
0.750714,3.11979
0.744856,2.9471
0.738782,2.77623
0.732411,2.60566
0.725788,2.4431
0.720247,2.3092
0.712767,2.14615
0.706399,2.01616
0.701578,1.91763
0.695,1.79147
0.689705,1.69536
0.682582,1.57479
0.677059,1.48534
0.673148,1.42575
0.665167,1.30904
0.661363,1.25433
0.655031,1.17005
0.648582,1.08721
0.644005,1.0335
0.639377,0.980134
0.632471,0.901695
0.627678,0.85133
0.620421,0.777422
0.617961,0.755001
0.610335,0.685344
0.605027,0.639377
0.602332,0.618138
0.594118,0.554311
0.588429,0.51293
0.585605,0.492403
0.57988,0.454169
0.573653,0.415793
0.56761,0.380062
0.564796,0.364878
0.558522,0.331827
0.55241,0.302476
0.545629,0.271797
0.542455,0.257264
0.535656,0.231303
0.532053,0.217763
0.525048,0.193921
0.521522,0.182657
0.513867,0.161321
0.510452,0.150917
0.50274,0.132127
0.502863,0.132311
0.494906,0.1151
0.486835,0.0993598
0.483178,0.0927353
0.478972,0.0859948
0.47486,0.0793826
