#ID:	4
#type:	Stressing
#start_time:	16/04/2025 17.41.05
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
#wait_duration:	1 min
#point_rate:	2 1/s
#point_spacing:	0 linear
#setpoint:	Inf W
##Sample holder climate : temperature:	[34.779,36.886] °C
##Sample holder climate : relative humidity:	[31.739,30.744] %
##IR temperature [0]:	[44.35,46.49] °C
##Stage temperature:	[51.4341,54.4878] °C
##Light intensity:	[100,100] %
#Power:	-0.00102305 mW
#Current:	-0.000735734 mA
#Voltage:	1.39052 V
#
#time (s),Voltage (V),current (mA),Power (mW),PCE (%)
1.10255,1.4629,-0.000435455,-0.000637025,0.0025481
1.63487,1.41432,-0.00105481,-0.00149184,0.00596736
2.14794,1.36107,-0.000797842,-0.00108592,0.00434367
2.67891,1.38562,-0.000848155,-0.00117522,0.00470087
3.19546,1.41452,-0.000541945,-0.000766595,0.00306638
3.71821,1.39994,-0.000730803,-0.00102308,0.00409233
4.23606,1.38546,-0.000653367,-0.000905216,0.00362086
4.76529,1.39517,-0.000637107,-0.000888872,0.00355549
5.28828,1.38524,-0.000724871,-0.00100412,0.00401649
5.81485,1.38549,-0.000835827,-0.00115803,0.00463212
6.33655,1.39017,-0.000947783,-0.00131758,0.00527033
6.86844,1.39522,-0.000915729,-0.00127764,0.00511057
7.39285,1.39535,-0.000757925,-0.00105757,0.00423028
7.92096,1.39502,-0.00106367,-0.00148384,0.00593537
8.44564,1.39034,-0.00103901,-0.00144459,0.00577834
8.97984,1.39016,-0.000962577,-0.00133814,0.00535255
9.51493,1.39013,-0.000644504,-0.000895946,0.00358378
10.043,1.39026,-0.000708612,-0.000985157,0.00394063
10.5635,1.3907,-0.000474372,-0.000659707,0.00263883
11.0899,1.3906,-0.000656832,-0.00091339,0.00365356
11.6131,1.39029,-0.000868881,-0.001208,0.00483198
12.1429,1.39051,-0.000777651,-0.00108133,0.00432533
12.654,1.39049,-0.000923126,-0.00128359,0.00513438
13.1784,1.39063,-0.000617381,-0.000858551,0.00343421
13.7043,1.39039,-0.000494097,-0.000686988,0.00274795
14.2261,1.39072,-0.00086395,-0.00120151,0.00480605
14.7494,1.39062,-0.000826964,-0.00115,0.00459999
15.2811,1.39037,-0.000942851,-0.00131091,0.00524364
15.8047,1.39011,-0.000925592,-0.00128668,0.0051467
16.3311,1.39032,-0.00101436,-0.00141028,0.00564112
16.8528,1.39038,-0.00097244,-0.00135206,0.00540824
17.3712,1.3903,-0.000656832,-0.000913196,0.00365278
17.8937,1.39025,-0.000888606,-0.00123538,0.00494153
18.427,1.39035,-0.000733268,-0.0010195,0.004078
18.9544,1.39022,-0.000632175,-0.000878863,0.00351545
19.4761,1.3903,-0.00100449,-0.00139655,0.00558618
20.002,1.39021,-0.000923126,-0.00128334,0.00513335
20.521,1.39022,-0.000819567,-0.00113938,0.00455752
21.0544,1.3905,-0.000622313,-0.000865327,0.00346131
21.5858,1.39028,-0.000624778,-0.000868618,0.00347447
22.1134,1.3902,-0.00086395,-0.00120106,0.00480425
22.6406,1.39024,-0.000841758,-0.00117025,0.00468099
23.1488,1.39072,-0.000792445,-0.00110207,0.00440828
23.6731,1.3905,-0.000844224,-0.00117389,0.00469556
24.1899,1.39059,-0.000560671,-0.000779662,0.00311865
24.7203,1.39063,-0.000713543,-0.000992277,0.00396911
25.2457,1.39062,-0.000826964,-0.00114999,0.00459997
25.7795,1.39046,-0.000859018,-0.00119443,0.00477774
26.2986,1.3903,-0.000609984,-0.000848064,0.00339225
26.8312,1.39063,-0.000802308,-0.00111571,0.00446284
27.3588,1.39043,-0.00072094,-0.00100242,0.00400967
27.8827,1.39055,-0.000676558,-0.000940788,0.00376315
28.404,1.39047,-0.00068642,-0.000954445,0.00381778
28.934,1.39038,-0.00109079,-0.00151662,0.00606647
29.4604,1.39047,-0.00072094,-0.00100245,0.00400978
29.9799,1.39061,-0.000918195,-0.00127685,0.0051074
30.5029,1.39063,-0.000669161,-0.000930555,0.00372222
31.0242,1.3904,-0.000550808,-0.000765844,0.00306337
31.552,1.39041,-0.000814636,-0.00113267,0.0045307
32.0816,1.39042,-0.000757925,-0.00105383,0.00421532
32.6141,1.39038,-0.00081217,-0.00112923,0.00451691
33.1398,1.39067,-0.000627244,-0.000872289,0.00348916
33.6517,1.39034,-0.000644504,-0.00089608,0.00358432
34.1837,1.39036,-0.00082943,-0.00115321,0.00461283
34.715,1.39056,-0.00062971,-0.00087565,0.0035026
35.2401,1.39045,-0.000656832,-0.00091329,0.00365316
35.7691,1.39046,-0.000740665,-0.00102987,0.00411947
36.2928,1.3904,-0.000627244,-0.000872123,0.00348849
36.8239,1.39025,-0.000932989,-0.00129709,0.00518834
37.3521,1.39034,-0.000849156,-0.00118062,0.00472247
37.8825,1.39064,-0.000642038,-0.000892844,0.00357138
38.4081,1.39056,-0.000792445,-0.00110195,0.00440778
38.9333,1.39028,-0.00110559,-0.00153708,0.00614832
39.4592,1.39045,-0.000664229,-0.000923581,0.00369432
39.9787,1.39053,-0.000797376,-0.00110877,0.0044351
40.4966,1.39014,-0.000913263,-0.00126956,0.00507825
41.0307,1.39046,-0.00082943,-0.00115329,0.00461316
41.5551,1.39052,-0.000928057,-0.00129048,0.00516192
42.0781,1.3906,-0.000984768,-0.00136942,0.00547766
42.6105,1.39055,-0.000854087,-0.00118765,0.0047506
43.1333,1.3904,-0.000526151,-0.000731561,0.00292624
43.6545,1.39019,-0.00082943,-0.00115307,0.00461226
44.1627,1.39013,-0.00068642,-0.000954211,0.00381684
44.6878,1.39043,-0.000457112,-0.000635581,0.00254233
45.2054,1.39032,-0.000797376,-0.00110861,0.00443445
45.7391,1.39051,-0.000590259,-0.00082076,0.00328304
46.2669,1.39043,-0.000888606,-0.00123554,0.00494218
46.7955,1.39052,-0.000767788,-0.00106763,0.00427051
47.3244,1.39033,-0.000777651,-0.00108119,0.00432476
47.841,1.39014,-0.000745597,-0.00103648,0.00414593
48.3705,1.39025,-0.000859018,-0.00119425,0.00477701
48.8913,1.39052,-0.000799842,-0.00111219,0.00444878
49.418,1.39062,-0.000905866,-0.00125972,0.00503887
49.9386,1.39068,-0.000974905,-0.00135579,0.00542314
50.4594,1.39053,-0.000602587,-0.000837914,0.00335166
50.9898,1.39044,-0.000965043,-0.00134183,0.00536734
51.513,1.39034,-0.00075546,-0.00105035,0.00420139
52.0379,1.39041,-0.000905866,-0.00125953,0.0050381
52.574,1.39027,-0.000765322,-0.00106401,0.00425602
53.0968,1.39062,-0.000814636,-0.00113285,0.00453139
53.6175,1.39033,-0.000868881,-0.00120803,0.00483212
54.1394,1.39063,-0.000693818,-0.000964846,0.00385939
54.6522,1.39045,-0.00075546,-0.00105043,0.00420171
55.1555,1.39043,-0.000752994,-0.00104698,0.00418793
55.658,1.39043,-0.000683955,-0.000950991,0.00380396
56.1769,1.39076,-0.00052122,-0.000724894,0.00289958
56.7043,1.39073,-0.000666695,-0.000927195,0.00370878
57.231,1.39037,-0.000891072,-0.00123892,0.00495566
57.7471,1.39061,-0.000716009,-0.000995687,0.00398275
58.273,1.39034,-0.000925592,-0.00128689,0.00514754
58.7938,1.39041,-0.000994631,-0.00138295,0.00553179
59.3073,1.39027,-0.000809705,-0.00112571,0.00450282
59.8386,1.39041,-0.000896003,-0.00124582,0.00498326
60.3666,1.39072,-0.000708612,-0.000985481,0.00394192
60.8968,1.39047,-0.000632175,-0.000879018,0.00351607
61.4198,1.39037,-0.000866415,-0.00120464,0.00481854
