#ID:	3
#type:	Perform parallel JV
#start_time:	16/04/2025 17.38.22
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
#start_voltage:	-0.2 V
#stop_voltage:	1.4 V
#Scan rate:	10 mV/s
#settling_time:	10 ms
#direction:	1 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample holder climate : temperature:	[30.245,34.779] °C
##Sample holder climate : relative humidity:	[31.615,31.739] %
##IR temperature [0]:	[31.91,44.35] °C
##Stage temperature:	[30.7062,51.4341] °C
##Light intensity:	[100,100] %
#
#voltage (V),current (mA)
1.09142,50.0987
1.08994,50.062
1.08902,50.0702
1.08832,50.0795
1.08778,50.0814
1.08716,50.0413
1.08684,50.0444
1.0865,50.0459
1.08623,50.0499
1.08603,50.0538
1.08579,50.0537
1.08561,50.0531
1.08542,50.0547
1.08525,50.0537
1.08511,50.0582
1.08493,50.0578
1.08476,50.0588
1.08463,50.0633
1.08446,50.0592
1.08432,50.0614
1.08416,50.0618
1.08406,50.0611
1.08392,50.0632
1.08379,50.0612
1.08367,50.0633
1.08357,50.0672
1.0834,50.0644
1.08331,50.0668
1.08317,50.0643
1.08309,50.0686
1.08297,50.0705
1.08287,50.0674
1.08276,50.0693
1.08267,50.067
1.08257,50.0718
1.08248,50.0693
1.08232,50.0709
1.08227,50.0706
1.08215,50.0719
1.08206,50.0716
1.08195,50.072
1.08188,50.0744
1.08181,50.0731
1.08172,50.075
1.08164,50.0743
1.08156,50.0773
1.0815,50.076
1.08139,50.0767
1.08137,50.0765
1.08125,50.0773
1.08116,50.0771
1.0811,50.0787
1.08103,50.0782
1.08093,50.0815
1.08087,50.0793
1.08079,50.0808
1.08076,50.0821
1.08068,50.0793
1.08057,50.0807
1.08052,50.0797
1.08046,50.08
1.08036,50.0797
1.08032,50.0777
1.08011,50.0364
1.07983,49.9898
1.07926,49.8568
1.07851,49.6863
1.07755,49.4547
1.07661,49.2319
1.07535,48.9219
1.07406,48.6071
1.07259,48.2486
1.07092,47.8426
1.06928,47.4409
1.06723,46.9348
1.06137,45.5056
1.05535,44.0553
1.04962,42.6779
1.04368,41.2839
1.03733,39.8182
1.0313,38.4493
1.02507,37.0682
1.01895,35.7287
1.01243,34.3397
1.00596,32.9928
0.999699,31.7139
0.993287,30.4293
0.986221,29.0653
0.979469,27.7921
0.972311,26.4824
0.965294,25.2391
0.958051,23.9888
0.950751,22.781
0.94319,21.5702
0.935832,20.4345
0.928244,19.3031
0.920323,18.1826
0.911929,17.0374
0.903466,15.9391
0.89547,14.9501
0.886741,13.9269
0.880291,13.2094
0.87462,12.5923
0.869578,12.0663
0.864427,11.5467
0.859472,11.0658
0.858667,10.9811
0.858759,10.9794
0.856996,10.8052
0.857061,10.8051
0.852695,10.4167
0.852802,10.4146
0.847509,9.95279
0.847498,9.95343
0.841559,9.45296
0.841669,9.45208
0.822057,7.97917
0.822179,7.97474
0.802507,6.7061
0.802732,6.70461
0.782989,5.61749
0.783172,5.61777
0.775961,5.26108
0.77602,5.25696
0.771865,5.05878
0.771882,5.05946
0.76607,4.79266
0.76602,4.79034
0.757902,4.44902
0.758038,4.44746
0.748342,4.07363
0.748397,4.07163
0.738057,3.7006
0.738124,3.70113
0.727093,3.3396
0.727096,3.33895
0.71529,2.98534
0.715249,2.98378
0.703725,2.67455
0.703743,2.67524
0.691471,2.37492
0.691512,2.37291
0.679652,2.11174
0.679848,2.11291
0.668803,1.89134
0.668864,1.89147
0.657321,1.67674
0.657411,1.6764
0.645281,1.47041
0.64519,1.46887
0.635952,1.32351
0.636016,1.3257
0.622651,1.13127
0.622653,1.13189
0.612516,0.996402
0.612542,0.994013
0.601975,0.866239
0.601961,0.865083
0.590685,0.734845
0.590548,0.735639
0.581415,0.636178
0.581341,0.635261
0.569357,0.517493
0.569362,0.51666
0.559092,0.424196
0.5591,0.42372
0.546079,0.313584
0.546063,0.31401
0.537834,0.249675
0.537957,0.250933
0.529531,0.188622
0.52955,0.188006
0.514815,0.0903591
0.514786,0.0911135
0.505702,0.0364367
0.505729,0.0360915
0.496428,-0.0161111
0.496533,-0.0155539
0.483882,-0.0811573
0.48361,-0.080891
0.473858,-0.126602
0.473838,-0.12601
0.463426,-0.168838
0.46342,-0.169563
0.452578,-0.210319
0.452854,-0.209766
0.445674,-0.233478
0.445583,-0.235248
0.430964,-0.280535
0.430766,-0.280432
0.423368,-0.300528
0.423523,-0.299675
0.407449,-0.340449
0.407433,-0.339152
0.407626,-0.339182
0.407864,-0.338479
0.382465,-0.388956
0.382289,-0.389242
0.386796,-0.38075
0.386375,-0.381536
0.365013,-0.415653
0.3653,-0.415313
0.36047,-0.422382
0.360694,-0.422197
0.347451,-0.438763
0.347185,-0.43899
0.342933,-0.443514
0.342503,-0.443642
0.32028,-0.46653
0.3203,-0.466267
0.329553,-0.457804
0.329436,-0.457368
0.291936,-0.487951
0.291881,-0.488045
0.311149,-0.473883
0.31094,-0.474194
0.272789,-0.499532
0.2732,-0.499366
0.292056,-0.487838
0.292045,-0.487764
0.249292,-0.511303
0.249485,-0.510983
0.27302,-0.499379
0.273177,-0.498935
0.230174,-0.519187
0.230217,-0.519165
0.248958,-0.511234
0.249097,-0.511074
0.210802,-0.52544
0.210314,-0.525564
0.230296,-0.518562
0.229834,-0.518576
0.185871,-0.532596
0.185709,-0.53303
0.215077,-0.523816
0.215146,-0.523998
0.161212,-0.538547
0.161268,-0.538409
0.195568,-0.529683
0.195553,-0.529582
0.141936,-0.542566
0.141816,-0.542748
0.176322,-0.534818
0.175914,-0.534714
0.116915,-0.547165
0.116826,-0.546971
0.161179,-0.538005
0.161336,-0.538163
0.0922535,-0.551208
0.0923515,-0.550959
0.141189,-0.5421
0.14115,-0.542149
0.068587,-0.554688
0.0687187,-0.554698
0.12664,-0.544872
0.126742,-0.544685
0.0448244,-0.557976
0.0448993,-0.557912
0.107106,-0.54805
0.106907,-0.548247
0.0208764,-0.560823
0.0204118,-0.561055
0.0922387,-0.550626
0.0920721,-0.550491
-0.00326735,-0.564165
-0.00287986,-0.563975
0.0733621,-0.553286
0.0728983,-0.553308
-0.0225873,-0.566287
-0.0223906,-0.566028
0.0492143,-0.556834
0.0490095,-0.556603
-0.0414057,-0.568385
-0.0416276,-0.568372
0.0250427,-0.559943
0.0254625,-0.559888
-0.0563747,-0.569774
-0.0559525,-0.570011
0.00149061,-0.562767
0.00165873,-0.562893
-0.075175,-0.572049
-0.0754623,-0.572012
-0.0177227,-0.565054
-0.0177309,-0.565022
-0.0944816,-0.573794
-0.0943523,-0.573732
-0.0464266,-0.568177
-0.0463577,-0.568237
-0.104296,-0.575184
-0.10455,-0.574856
-0.0752739,-0.57144
-0.0755039,-0.571785
-0.118661,-0.576421
-0.119028,-0.576103
-0.0996277,-0.574065
-0.0994049,-0.573892
-0.137538,-0.577838
-0.137981,-0.578109
-0.118618,-0.576069
-0.118441,-0.575795
-0.161496,-0.580559
-0.161897,-0.580468
-0.137562,-0.577971
-0.137575,-0.577818
-0.18074,-0.582193
-0.180766,-0.582437
-0.161908,-0.580164
-0.161657,-0.580243
-0.200059,-0.583997
-0.200008,-0.584214
-0.180594,-0.582161
-0.181501,-0.582082
-0.219954,-0.586
NaN,NaN
