#ID:	3
#type:	Perform parallel JV
#start_time:	16/04/2025 17.46.09
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
#start_voltage:	-0.2 V
#stop_voltage:	1.4 V
#Scan rate:	10 mV/s
#settling_time:	10 ms
#direction:	1 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample holder climate : temperature:	[32.808,29.964] °C
##Sample holder climate : relative humidity:	[30.803,32.155] %
##IR temperature [0]:	[34.89,31.53] °C
##Stage temperature:	[33.9076,30.2538] °C
##Light intensity:	[0,0] %
#
#voltage (V),current (mA)
1.09144,50.0065
1.09049,50.0588
1.08967,50.065
1.08916,50.071
1.08871,50.0729
1.08827,50.0273
1.08801,50.0326
1.08779,50.0326
1.08762,50.0298
1.08746,50.0349
1.08736,50.0375
1.08727,50.0342
1.08711,50.0377
1.08705,50.0415
1.08696,50.037
1.08689,50.0408
1.08681,50.0397
1.08674,50.0428
1.08667,50.0389
1.08661,50.0412
1.08657,50.0415
1.08649,50.0362
1.08644,50.0409
1.08636,50.0412
1.08633,50.0417
1.08629,50.0398
1.08624,50.0425
1.08624,50.0389
1.08612,50.0369
1.08609,50.0401
1.08605,50.0374
1.08601,50.0381
1.08593,50.0395
1.08593,50.0398
1.08587,50.0354
1.08586,50.0384
1.08582,50.0373
1.08579,50.0354
1.08575,50.0358
1.08575,50.036
1.08574,50.0337
1.08567,50.0391
1.08567,50.0372
1.08563,50.0368
1.08558,50.0366
1.08558,50.0353
1.08553,50.0375
1.08552,50.0384
1.08547,50.0337
1.08546,50.0364
1.08543,50.0327
1.08539,50.0318
1.08539,50.0361
1.08535,50.0339
1.08536,50.0331
1.08537,50.0353
1.08531,50.0352
1.08528,50.0324
1.08527,50.0388
1.08526,50.0357
1.08523,50.0354
1.0852,50.0356
1.08505,49.9877
1.08464,49.8996
1.08412,49.7633
1.08361,49.6317
1.08254,49.3614
1.08168,49.1344
1.08051,48.8243
1.07929,48.505
1.07769,48.1013
1.07632,47.7479
1.07453,47.2895
1.07273,46.8293
1.07058,46.2756
1.06466,44.8091
1.05884,43.3758
1.05297,41.9488
1.04692,40.4875
1.04066,39.0176
1.03442,37.5805
1.02832,36.1978
1.02209,34.8053
1.01548,33.3648
1.00917,32.0314
1.00254,30.6614
0.995834,29.3061
0.989018,27.9787
0.9819,26.6226
0.974881,25.3272
0.967629,24.0338
0.960327,22.7788
0.95277,21.5291
0.945341,20.3409
0.937662,19.1595
0.929659,17.9877
0.921107,16.7962
0.912542,15.6583
0.904063,14.5899
0.895822,13.6042
0.887003,12.6143
0.879181,11.7791
0.8742,11.2581
0.868928,10.7348
0.863923,10.2577
0.863635,10.2103
0.862868,10.1294
0.86155,9.99986
0.859857,9.83394
0.858003,9.66367
0.8552,9.41368
0.852713,9.20314
0.849828,8.957
0.846243,8.66506
0.842604,8.37948
0.838878,8.09254
0.83445,7.7671
0.830314,7.47538
0.825531,7.14539
0.820536,6.82143
0.815202,6.48852
0.80973,6.16085
0.803974,5.83914
0.797981,5.51868
0.792535,5.23974
0.785822,4.91884
0.779876,4.65118
0.773635,4.38588
0.766975,4.12014
0.760145,3.86029
0.753761,3.63562
0.747267,3.41854
0.740405,3.2058
0.734524,3.0291
0.728287,2.85749
0.721691,2.68403
0.714952,2.51712
0.709344,2.38462
0.703574,2.25478
0.695875,2.09457
0.691169,2.00106
0.684701,1.87938
0.677971,1.75658
0.672782,1.66801
0.667371,1.58008
0.66177,1.49339
0.655979,1.40839
0.650254,1.3272
0.64409,1.24272
0.639939,1.19076
0.63368,1.11282
0.627057,1.03547
0.622659,0.985004
0.618177,0.937663
0.611275,0.866122
0.606526,0.819926
0.601445,0.771937
0.593698,0.704572
0.591149,0.681767
0.58326,0.617574
0.577498,0.574558
0.574692,0.553934
0.569111,0.513987
0.56323,0.475227
0.557097,0.438303
0.551051,0.403863
0.547904,0.38581
0.541611,0.352323
0.535519,0.321902
0.531744,0.304407
0.525326,0.276017
0.521673,0.261473
0.514877,0.23585
0.507514,0.209104
0.503986,0.198826
0.499785,0.18534
0.492388,0.164317
0.488894,0.154141
0.484794,0.144709
0.477107,0.125878
0.472714,0.117431
0.468794,0.109893
0.460253,0.0941441
0.45627,0.0882443
0.452035,0.0821129
0.443696,0.0700309
0.443538,0.0703834
0.434497,0.059797
0.429947,0.0549229
0.42568,0.0505182
0.421331,0.0465513
0.416588,0.0426165
0.407706,0.0364343
0.407902,0.0359141
0.398704,0.0300587
0.393876,0.0272112
0.389178,0.0251412
0.384757,0.0228681
0.379847,0.0208564
0.370554,0.0172741
0.37041,0.0171878
0.36046,0.0141934
0.36051,0.0140775
0.350929,0.0113828
0.350833,0.011511
0.341156,0.00946078
0.336334,0.0086398
0.331276,0.00766104
0.326066,0.00690269
0.321168,0.00627889
0.320863,0.00612108
0.311064,0.00467619
0.306264,0.00407803
0.301629,0.00391283
0.296298,0.00323477
0.291438,0.00271698
0.286465,0.00258483
0.28127,0.00208183
0.276329,0.00176869
0.271293,0.00195855
0.26645,0.00137025
0.260914,0.0011434
0.256637,0.0010719
0.251509,0.000965876
0.241157,0.000557573
0.241417,0.000493465
0.236177,0.000562504
0.231314,0.000722773
0.221094,0.000329264
0.221349,0.000378578
0.211167,0.0004057
0.210966,0.000146804
0.206172,0.000362318
0.201045,0.000226705
0.19113,0.000359852
0.191177,0.000253828
0.181044,0.000163598
0.17587,-0.00020872
0.175853,-5.33823E-5
0.165854,9.25977E-6
0.161246,6.10391E-5
0.160837,0.000231171
0.150658,4.6245E-5
0.145306,0.000150804
0.140775,-0.000130284
0.140386,-9.08332E-5
0.130213,-0.000103162
0.125426,-0.000126818
0.120261,-7.50391E-5
0.12026,-1.09314E-5
0.11028,9.5093E-5
0.105493,0.000184858
0.100643,0.000197186
0.0957004,0.000202117
0.0904251,8.12989E-5
0.0856659,0.00030421
0.0803352,8.47646E-5
0.0706261,8.96959E-5
0.0705323,0.00013901
0.0649377,-0.000138613
0.0600338,8.82302E-5
0.0553183,0.000147407
0.0448441,-0.000130215
0.0449167,-0.000189392
0.0400995,-8.82989E-5
0.0304822,-0.000283088
0.0302765,6.70391E-5
0.0254219,4.09166E-5
0.0157783,-0.000114421
0.0110753,-9.22302E-5
0.0113293,-0.000407838
0.00120551,0.000123284
-0.00391395,2.46568E-5
-0.00862554,-9.86273E-6
-0.00796694,-0.000207117
-0.0180994,-0.000257897
-0.0273145,-0.00021598
-0.0272264,5.77107E-5
-0.032632,3.65195E-5
-0.0374956,-9.16959E-5
-0.0470849,9.07646E-5
-0.0472356,2.17255E-5
-0.0569948,6.95734E-5
-0.0569637,5.47793E-5
-0.0665033,-0.000142475
-0.066469,0.000126284
-0.0762064,0.000166735
-0.0811103,0.000290019
-0.0858938,0.000223446
-0.0906004,0.000260431
-0.0954057,-2.39705E-6
-0.100096,-4.86273E-6
-0.10504,0.000209652
-0.10967,0.000281156
-0.114507,-6.32841E-6
-0.124431,-0.000178926
-0.124202,2.81911E-5
-0.134035,0.000204255
-0.133999,-0.000197652
-0.144157,4.53432E-6
-0.148814,-5.71077E-5
-0.153768,-0.000270622
-0.154041,-0.000142407
-0.163611,-7.09018E-5
-0.168388,6.2245E-5
-0.173354,0.000309813
-0.178122,0.000290088
-0.183056,0.000196392
-0.187872,0.000203789
-0.19232,7.41077E-5
-0.202101,-0.000105887
-0.202564,-8.61616E-5
NaN,NaN
