#ID:	1
#type:	Perform parallel JV
#start_time:	16/04/2025 17.35.39
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
#start_voltage:	-0.2 V
#stop_voltage:	1.4 V
#Scan rate:	10 mV/s
#settling_time:	10 ms
#direction:	1 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample holder climate : temperature:	[33.42,30.245] °C
##Sample holder climate : relative humidity:	[30.249,31.615] %
##IR temperature [0]:	[35.67,31.91] °C
##Stage temperature:	[35.8809,30.7062] °C
##Light intensity:	[0,0] %
#
#voltage (V),current (mA)
1.09143,50.0536
1.09029,50.0601
1.0894,50.0239
1.08883,50.0275
1.08844,50.0273
1.08811,50.0305
1.08787,50.0323
1.08768,50.0323
1.08748,50.0321
1.08736,50.0355
1.08723,50.0378
1.08709,50.0344
1.08704,50.0399
1.08692,50.0381
1.08684,50.0416
1.08677,50.0437
1.08669,50.0414
1.08662,50.0442
1.08654,50.0414
1.08646,50.0408
1.08643,50.0398
1.08635,50.0393
1.08633,50.0412
1.08625,50.0414
1.08621,50.0402
1.08616,50.0404
1.08609,50.0384
1.08606,50.0377
1.08601,50.0417
1.08595,50.041
1.08591,50.0378
1.08588,50.0377
1.08586,50.0377
1.08579,50.0381
1.08579,50.0386
1.08576,50.0359
1.0857,50.0358
1.08562,50.0379
1.08562,50.0347
1.08558,50.0354
1.08557,50.0421
1.08553,50.0376
1.0855,50.0385
1.0855,50.038
1.08545,50.0349
1.08541,50.0357
1.08538,50.0367
1.08539,50.0358
1.08533,50.0385
1.08532,50.0376
1.08529,50.039
1.08529,50.0414
1.08527,50.0396
1.0852,50.0401
1.0852,50.0383
1.08515,50.036
1.08514,50.0335
1.08513,50.039
1.0851,50.0384
1.08507,50.0367
1.08508,50.034
1.08502,50.0344
1.08484,49.9912
1.08449,49.8992
1.08398,49.7655
1.08341,49.6329
1.08238,49.3638
1.0815,49.1387
1.08029,48.8275
1.07905,48.5124
1.07751,48.1054
1.07612,47.7466
1.0743,47.2963
1.07253,46.8343
1.07034,46.2813
1.06446,44.812
1.05859,43.3736
1.05258,41.9062
1.04645,40.4463
1.0402,38.9788
1.03418,37.5859
1.02786,36.154
1.02158,34.765
1.01516,33.374
1.00863,31.9899
1.00224,30.6637
0.995496,29.3108
0.988439,27.9412
0.981315,26.5841
0.974265,25.2878
0.967222,24.0367
0.959655,22.7358
0.952049,21.4818
0.944626,20.3021
0.936976,19.1232
0.928898,17.9472
0.920303,16.7512
0.911731,15.6186
0.903605,14.5948
0.895004,13.5689
0.886075,12.5745
0.879151,11.8267
0.874097,11.303
0.868864,10.7831
0.863347,10.2628
0.858777,9.83684
0.858509,9.7934
0.857698,9.70678
0.856402,9.58326
0.85455,9.41919
0.852712,9.25289
0.84974,9.00235
0.847214,8.79284
0.84419,8.54889
0.840454,8.261
0.837285,8.01708
0.832827,7.69122
0.828665,7.39835
0.824366,7.10578
0.819219,6.77917
0.813948,6.44887
0.808425,6.12377
0.802707,5.80497
0.797495,5.52373
0.791906,5.2424
0.785334,4.92599
0.779296,4.65576
0.773057,4.38903
0.766519,4.12655
0.760596,3.90471
0.753327,3.64373
0.746817,3.42682
0.741138,3.24795
0.735336,3.07098
0.72776,2.861
0.722699,2.72603
0.715961,2.5549
0.708916,2.3914
0.703118,2.26116
0.697068,2.1328
0.690785,2.00817
0.685978,1.91515
0.679095,1.79078
0.673918,1.70075
0.666802,1.58434
0.663162,1.52624
0.657654,1.4406
0.651793,1.35744
0.645656,1.27538
0.639674,1.19713
0.63559,1.1444
0.629017,1.06678
0.622243,0.990519
0.617807,0.942414
0.613243,0.894033
0.608406,0.846803
0.60077,0.774647
0.595646,0.730348
0.59083,0.685357
0.585566,0.643431
0.579938,0.598275
0.577447,0.579
0.568781,0.518662
0.565833,0.497941
0.556984,0.442842
0.553916,0.424353
0.547686,0.388648
0.544554,0.371617
0.538193,0.339414
0.531418,0.307928
0.528417,0.293531
0.52162,0.264982
0.514786,0.238168
0.510799,0.22445
0.507156,0.211323
0.500191,0.188883
0.496201,0.178067
0.492539,0.166364
0.48461,0.145724
0.476947,0.127853
0.476749,0.127392
0.468551,0.110726
0.464784,0.103919
0.456117,0.0892009
0.452282,0.0830398
0.451885,0.0826405
0.443567,0.0709653
0.435027,0.0609039
0.434731,0.0607313
0.426111,0.0515832
0.42166,0.0474068
0.416813,0.043191
0.412287,0.0397394
0.407459,0.0365797
0.398537,0.0307786
0.399068,0.0310054
0.389434,0.0255815
0.384815,0.023021
0.380174,0.0211276
0.375664,0.0194437
0.370797,0.0176957
0.365598,0.0158797
0.360678,0.0144966
0.351217,0.0116392
0.351155,0.0116515
0.345851,0.0104075
0.336518,0.00863978
0.336168,0.00842283
0.326245,0.00696924
0.326086,0.00684104
0.316664,0.00551452
0.311287,0.00475263
0.311682,0.00477482
0.301733,0.00368599
0.296777,0.0034049
0.29133,0.00298573
0.291096,0.00300053
0.281469,0.00246894
0.276612,0.00244182
0.271522,0.00158869
0.266582,0.00147627
0.261707,0.00128641
0.261799,0.00133326
0.251423,0.000906699
0.24121,0.000597023
0.241211,0.00074743
0.241198,0.000784415
0.231128,0.000488533
0.220861,0.000282416
0.226329,0.0002405
0.210994,0.000198583
0.210936,5.80391E-5
0.20605,0.000236568
0.200574,0.000322867
0.195893,7.13675E-5
0.19111,0.000145338
0.186198,-2.62598E-5
0.175989,2.79852E-5
0.175728,-0.00013475
0.170949,-9E-6
0.161341,0.00011775
0.160669,-0.000183063
0.155793,0.000258294
0.145726,-3.41225E-5
0.145947,-0.00022398
0.135756,0.000214911
0.135938,7.68332E-5
0.130644,4.23136E-5
0.121332,-3.53432E-6
0.115628,-7.25734E-5
0.115554,-0.000287088
0.105745,0.000133078
0.105664,-9.93136E-6
0.0958424,0.00021198
0.0907091,7.63675E-5
0.0905365,6.40391E-5
0.0804832,-7.30391E-5
0.0751745,9.31364E-7
0.075251,-6.07107E-5
0.0650608,-3.99852E-5
0.0604181,-0.000150941
0.0601545,-2.02598E-5
0.0498642,1.42598E-5
0.0448546,4.4848E-5
0.0402094,0.000237171
0.0352987,-1.43284E-5
0.0304286,-8.33675E-5
0.0253381,3.93136E-6
0.020663,0.000102559
0.0160689,0.00010749
0.0106898,0.000243103
0.00603488,7.15048E-5
0.00108981,0.000303279
-0.00818055,0.000147941
-0.00824921,-7.39705E-5
-0.0179411,0.000136613
-0.0177282,-9.02302E-5
-0.0273088,0.000213049
-0.0325237,-0.00018046
-0.0372763,-3.00539E-5
-0.0420695,-0.000316073
-0.0470312,0.00014501
-0.0472185,0.000120353
-0.0568484,0.000121353
-0.0665601,-4.3848E-5
-0.066489,-0.000112887
-0.0717282,-1.32598E-5
-0.0764636,-6.75048E-5
-0.0812315,-0.000190789
-0.0906583,-5.86273E-6
-0.0906766,0.000282622
-0.100358,9.93136E-6
-0.100588,4.69166E-5
-0.109857,1.48627E-5
-0.115045,0.000252568
-0.114766,-7.04361E-5
-0.124452,3.06568E-5
-0.129325,-0.000171529
-0.134075,7.35734E-5
-0.139085,-5.21764E-5
-0.14422,-2.50539E-5
-0.148932,-0.00019272
-0.153841,-0.000310073
-0.163248,6.02954E-7
-0.163504,-3.14509E-5
-0.16812,-0.000297745
-0.177723,6.53432E-6
-0.182999,0.000201323
-0.182725,0.000156941
-0.192434,-0.000199583
-0.192856,1.7397E-5
-0.202067,0.000259034
NaN,NaN
