#ID:	1
#type:	Perform parallel JV
#start_time:	16/04/2025 16.42.39
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
#start_voltage:	-0.2 V
#stop_voltage:	1.4 V
#Scan rate:	10 mV/s
#settling_time:	10 ms
#direction:	3 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample holder climate : temperature:	[21.486,21.627] °C
##Sample holder climate : relative humidity:	[38.921,38.428] %
##IR temperature [0]:	[21.33,23.33] °C
##Stage temperature:	[21.3819,21.4165] °C
##Light intensity:	[0,0] %
#
#voltage (V),current (mA)
1.11234,50.1106
1.11089,50.1268
1.10967,50.0853
1.10892,50.092
1.10833,50.0954
1.10795,50.1026
1.10755,50.1063
1.10727,50.1087
1.10701,50.1085
1.10681,50.1099
1.10661,50.1087
1.10646,50.117
1.10635,50.1137
1.10619,50.1164
1.10602,50.1134
1.10593,50.1147
1.10581,50.116
1.10569,50.12
1.1056,50.1179
1.1055,50.121
1.1054,50.1173
1.1053,50.1152
1.10522,50.1213
1.10518,50.1218
1.10507,50.1212
1.10501,50.1217
1.10492,50.1222
1.10488,50.1244
1.1048,50.1239
1.10471,50.1254
1.10468,50.1262
1.10461,50.1253
1.10451,50.1208
1.10446,50.1251
1.10438,50.1242
1.1043,50.1249
1.10427,50.1193
1.10419,50.1234
1.10416,50.1222
1.10411,50.1233
1.10406,50.1255
1.10404,50.1239
1.10398,50.1252
1.1039,50.1275
1.10386,50.1265
1.1038,50.1275
1.10376,50.1244
1.10373,50.1265
1.10369,50.1296
1.10363,50.1256
1.10359,50.1264
1.10357,50.1244
1.10353,50.1264
1.10347,50.1262
1.10342,50.1245
1.10343,50.1292
1.10335,50.1294
1.10333,50.1298
1.10328,50.1273
1.10287,50.0337
1.10232,49.9008
1.10173,49.7628
1.1008,49.5367
1.09985,49.3086
1.09871,49.0333
1.09748,48.7233
1.096,48.3653
1.09454,48.0077
1.09271,47.5631
1.09089,47.1189
1.08908,46.6697
1.08678,46.1277
1.08071,44.6769
1.07437,43.1888
1.06815,41.7334
1.0619,40.3029
1.05531,38.8091
1.04884,37.3757
1.04252,36.0034
1.03582,34.5759
1.02925,33.1952
1.02223,31.7769
1.01567,30.4599
1.00886,29.1452
1.00196,27.8267
0.994767,26.5128
0.987473,25.208
0.980312,23.9694
0.97282,22.7109
0.965049,21.4566
0.957588,20.2974
0.949839,19.1333
0.942407,18.0616
0.933794,16.8822
0.925308,15.7682
0.916485,14.66
0.907706,13.6262
0.899294,12.6843
0.894179,12.129
0.889149,11.6028
0.884069,11.089
0.878776,10.5736
0.873238,10.0602
0.868513,9.63475
0.868172,9.59197
0.867321,9.50736
0.865923,9.3768
0.864511,9.24822
0.86199,9.03313
0.859448,8.82518
0.856368,8.57743
0.853239,8.32791
0.849978,8.07815
0.845981,7.78972
0.84201,7.50155
0.837878,7.2209
0.833553,6.93228
0.828424,6.60435
0.822996,6.27709
0.818128,5.99532
0.812311,5.67365
0.807038,5.39439
0.800707,5.08207
0.794921,4.80865
0.788814,4.53207
0.782514,4.27104
0.77587,4.00472
0.77006,3.78462
0.764066,3.57367
0.757776,3.36186
0.751218,3.15507
0.745605,2.9853
0.738465,2.78322
0.732155,2.61561
0.726983,2.4855
0.720328,2.32344
0.71325,2.16834
0.7075,2.04214
0.702821,1.94769
0.696355,1.82
0.689521,1.69444
0.684154,1.6026
0.676781,1.4849
0.673114,1.4242
0.665209,1.30805
0.661281,1.25085
0.655178,1.16895
0.648807,1.08562
0.644482,1.03324
0.6401,0.980529
0.633207,0.904641
0.626112,0.827304
0.623804,0.803333
0.616354,0.734267
0.611298,0.686231
0.606068,0.64098
0.600655,0.596836
0.595073,0.553078
0.589385,0.510587
0.58353,0.47035
0.577963,0.434779
0.574934,0.415176
0.568471,0.377696
0.561969,0.342591
0.558869,0.327056
0.552669,0.295191
0.545411,0.263674
0.54219,0.249596
0.535577,0.22424
0.531841,0.211821
0.524437,0.186476
0.521046,0.175433
0.517155,0.164945
0.509555,0.144236
0.502251,0.126912
0.501683,0.125322
0.494196,0.109972
0.490205,0.101935
0.481563,0.0871881
0.477707,0.0810764
0.473487,0.0746737
0.469681,0.069198
0.461151,0.0588739
0.456666,0.0542685
0.452248,0.0501118
0.447976,0.0459562
0.443788,0.0423961
0.434597,0.0351355
0.434103,0.0350911
0.425509,0.029434
0.42107,0.0266234
0.416647,0.0244834
0.406693,0.0198199
0.407169,0.0201724
0.402733,0.0184146
0.393156,0.0149704
0.388787,0.013825
0.388925,0.013751
0.379816,0.0114015
0.369862,0.00883007
0.370217,0.0091629
0.36595,0.00809392
0.360956,0.00742086
0.351581,0.00585772
0.34662,0.00534832
0.347429,0.00550613
0.33752,0.00417466
0.332711,0.0038985
0.327989,0.00302419
0.32368,0.00296994
0.314186,0.00203545
0.313996,0.00232393
0.309089,0.0019033
0.299331,0.00137564
0.299533,0.00121291
0.29014,0.0010773
0.289786,0.00101072
0.280085,0.000693651
0.275348,0.000604886
0.275638,0.000488999
0.266172,0.000536847
0.260479,0.000408632
0.255767,0.000258225
0.250609,0.00034699
0.245716,6.69018E-5
0.240855,0.000315936
0.235662,0.000463877
0.225626,-4.79852E-5
0.225227,0.000164063
0.22046,9.25586E-5
0.215357,6.25977E-6
0.210552,-0.00015401
0.205608,-0.000165338
0.200606,-0.000310813
0.190323,-0.000202323
0.190958,0.000108353
0.185934,0.000188255
0.176225,-0.00010023
0.175676,5.01764E-5
0.165717,-6.9642E-5
0.165875,-1.78627E-5
0.156039,-0.000170735
0.155703,7.82989E-5
0.14584,6.94361E-5
0.145862,3.73823E-5
0.135967,0.000195186
0.131178,0.000212446
0.130909,-6.61764E-5
0.121501,0.000141941
0.116558,0.000307142
0.111573,5.81077E-5
0.106227,3.44509E-5
0.101495,4.86273E-6
0.0962602,-0.000150475
0.091479,9.79409E-6
0.0863869,-0.00031221
0.0813226,-0.000132215
0.0760913,-5.57793E-5
0.071451,0.000148872
